rowid,bank,sentiment
464, Trust, Positive
465, Trust, Neutral
466, Trust, Neutral
467, Trust, Negative
468, Trust, Neutral
469, Trust, Positive
470, Trust, Neutral
471, Trust, Neutral
472, Trust, Neutral
473, Trust, Neutral
474, Trust, Negative
475, Trust, Neutral
476, Trust, Negative
477, Trust, Negative
478, Trust, Negative
479, Trust, Neutral
480, Trust, Negative
481, Trust, Positive
482, Trust, Positive
483, Trust, Negative
484, Trust, Positive
485, Trust, Neutral
486, Trust, Negative
487, Trust, Negative
488, Trust, Positive
489, Trust, Neutral
490, Trust, Neutral
491, Trust, Negative
492, Trust, Positive
493, Trust, Negative
494, Trust, Negative
495, Trust, Positive
496, Trust, Negative
497, Trust, Negative
498, Trust, Positive
499, Trust, Negative
500, Trust, Negative
501, Trust, Positive
502, Trust, Neutral
503, Trust, Positive
504, Trust, Negative
505, Trust, Negative
506, Trust, Negative
507, Trust, Negative
508, Trust, Positive
509, Trust, Negative
510, Trust, Negative
511, Trust, Neutral
512, Trust, Neutral
513, Trust, Negative
514, Trust, Negative
515, Trust, Neutral
516, Trust, Positive
517, Trust, Positive
518, Trust, Positive
519, Trust, Positive
520, Trust, Neutral
521, Trust, Neutral
522, Trust, Negative
523, Trust, Negative
524, Trust, Positive
525, Trust, Neutral
526, Trust, Negative
527, Trust, Negative
528, Trust, Negative
529, Trust, Negative
530, Trust, Negative
531, Trust, Negative
532, Trust, Neutral
533, Trust, Negative
534, Trust, Positive
535, Trust, Negative
536, Trust, Positive
537, Trust, Neutral
538, Trust, Positive
539, Trust, Positive
540, Trust, Negative
541, Trust, Negative
542, Trust, Positive
543, Trust, Negative
544, Trust, Neutral
545, Trust, Positive
546, Trust, Positive
547, Trust, Negative
548, Trust, Negative
549, Trust, Negative
550, Trust, Negative
551, Trust, Negative
552, Trust, Positive
553, Trust, Positive
554, Trust, Neutral
555, Trust, Negative
556, Trust, Positive
557, Trust, Negative
558, Trust, Negative
559, Trust, Negative
560, Trust, Positive
561, Trust, Positive
562, Trust, Positive
563, Trust, Neutral
564, Trust, Positive
565, Trust, Negative
566, Trust, Negative
567, Trust, Negative
568, Trust, Positive
569, Trust, Negative
570, Trust, Neutral
571, Trust, Negative
572, Trust, Positive
573, Trust, Negative
574, Trust, Neutral
575, Trust, Positive
576, Trust, Neutral
577, Trust, Negative
578, Trust, Negative
579, Trust, Neutral
580, Trust, Positive
581, Trust, Negative
582, Trust, Positive
583, Trust, Neutral
584, Trust, Negative
585, Trust, Positive
586, Trust, Negative
587, Trust, Positive
588, Trust, Neutral
589, Trust, Positive
590, Trust, Negative
591, Trust, Neutral
592, Trust, Neutral
593, Trust, Neutral
594, Trust, Negative
595, Trust, Negative
596, Trust, Positive
597, Trust, Positive
598, Trust, Positive
599, Trust, Negative
600, Trust, Positive
601, Trust, Negative
602, Trust, Negative
603, Trust, Positive
604, Trust, Positive
605, Trust, Negative
606, Trust, Neutral
607, Trust, Positive
608, Trust, Negative
609, Trust, Positive
610, Trust, Negative
611, Trust, Negative
612, Trust, Neutral
613, Trust, Positive
614, Trust, Negative
615, Trust, Positive
616, Trust, Neutral
617, Trust, Negative
618, Trust, Negative
619, Trust, Positive
620, Trust, Negative
621, Trust, Positive
622, Trust, Neutral
623, Trust, Positive
624, Trust, Negative
625, Trust, Positive
626, Trust, Positive
627, Trust, Positive
628, Trust, Negative
629, Trust, Positive
630, Trust, Positive
631, Trust, Neutral
632, Trust, Positive
633, Trust, Neutral
634, Trust, Positive
635, Trust, Positive
636, Trust, Positive
637, Trust, Positive
638, Trust, Neutral
639, Trust, Neutural
640, Trust, Neutral
641, Trust, Negative
642, Trust, Negative
643, Trust, Neutral
644, Trust, Neutral
645, Trust, Negative
646, Trust, Negative
647, Trust, Negative
648, Trust, Negative
649, Trust, Positive
650, Trust, Negative
651, Trust, Negative
652, Trust, Neutral
653, Trust, Positive
654, Trust, Neutral
655, Trust, Negative
656, Trust, Negative
657, Trust, Positive
658, Trust, Negative
659, Trust, Neutral
660, Trust, Negative
661, Trust, Positive
662, Trust, Neutral
663, Trust, Negative
664, Trust, Neutral
665, Trust, Neutral
666, Trust, Negative
667, Trust, Negative
668, Trust, Positive
669, Trust, Negative
670, Trust, Positive
671, Trust, Positive
672, Trust, Positive
673, Trust, Neutral
674, Trust, Positive
675, MariBank, Positive
676, MariBank, Positive
677, MariBank, Neutral
678, MariBank, Positive
679, MariBank, Positive
680, MariBank, Negative
681, MariBank, Positive
682, MariBank, Neutral
683, MariBank, Positive
684, MariBank, Positive
685, MariBank, Positive
686, MariBank, Positive
687, MariBank, Neutral
688, MariBank, Positive
689, MariBank, Positive
690, MariBank, Neutral
691, MariBank, Positive
692, MariBank, Positive
693, MariBank, Negative
694, MariBank, Negative
695, MariBank, Negative
696, GXS, Negative
697, GXS, Negative
698, GXS, Negative
699, GXS, Neutral
700, GXS, Neutral
701, GXS, Negative
702, GXS, Negative
703, GXS, Negative
704, GXS, Positive
705, GXS, Positive
706, GXS, Neutral
707, GXS, Neutral
708, GXS, Positive
709, GXS, Negative
710, GXS, Neutral
711, GXS, Negative
712, GXS, Positive
713, GXS, Neutral
714, GXS, Positive
715, GXS, Negative
716, GXS, Positive
717, GXS, Negative
718, GXS, Negative
719, GXS, Neutral
720, GXS, Negative
721, GXS, Positive
722, GXS, Negative
723, GXS, Positive
724, GXS, Negative
725, GXS, Negative
726, GXS, Positive
727, GXS, Negative
728, GXS, Negative
729, GXS, Negative
730, GXS, Positive
731, GXS, Negative
732, GXS, Negative
733, GXS, Positive
734, GXS, Positive
735, GXS, Positive
736, GXS, Positive
737, GXS, Positive
738, GXS, Positive
739, GXS, Negative
740, GXS, Negative
741, GXS, Negative
742, GXS, Negative
743, GXS, Negative
744, GXS, Negative
745, GXS, Neutral
746, GXS, Positive
747, GXS, Neutral
748, GXS, Negative
749, GXS, Negative
750, GXS, Positive
751, GXS, Positive
752, GXS, Positive
753, GXS, Negative
754, GXS, Negative
755, GXS, Positive
756, GXS, Neutral
757, GXS, Positive
758, GXS, Positive
759, GXS, Neutral
760, GXS, Neutral
761, GXS, Positive
762, GXS, Positive
763, GXS, Negative
764, GXS, Positive
765, GXS, Negative
766, GXS, Neutral
767, GXS, Negative
768, GXS, Positive
769, GXS, Negative
770, GXS, Positive
771, GXS, Negative
772, GXS, Negative
773, GXS, Negative
774, GXS, Negative
775, GXS, Neutral
776, GXS, Positive
777, GXS, Positive
778, GXS, Positive
779, GXS, Positive
780, GXS, Positive
781, GXS, Positive
782, GXS, Neutral
783, GXS, Negative
784, GXS, Negative
785, GXS, Negative
786, GXS, Neutral
787, GXS, Negative
788, GXS, Positive
789, GXS, Positive
790, GXS, Negative
791, GXS, Negative
792, GXS, Negative
793, GXS, Negative
794, GXS, Negative
795, GXS, Negative
796, GXS, Negative
797, GXS, Negative
798, GXS, Negative
799, GXS, Negative
800, GXS, Negative
801, GXS, Negative
802, GXS, Negative
803, GXS, Negative
804, GXS, Negative
805, GXS, Negative
806, GXS, Negative
807, GXS, Negative
808, GXS, Negative
809, GXS, Negative
810, GXS, Negative
811, GXS, Negative
812, GXS, Negative
813, GXS, Neutral
814, GXS, Negative
815, GXS, Negative
816, GXS, Negative
817, GXS, Negative
818, GXS, Negative
819, GXS, Negative
820, GXS, Negative
821, GXS, Negative
822, GXS, Negative
823, GXS, Negative
824, GXS, Negative
825, GXS, Neutral
826, GXS, Negative
827, GXS, Negative
828, GXS, Positive
829, GXS, Negative
830, GXS, Positive
831, GXS, Positive
832, GXS, Neutral
833, GXS, Neutral
834, GXS, Negative
835, GXS, Negative
836, GXS, Negative
837, GXS, Negative
838, GXS, Negative
839, GXS, Negative
840, GXS, Negative
841, GXS, Negative
842, GXS, Neutral
843, GXS, Negative
844, GXS, Neutral
845, GXS, Negative
846, GXS, Negative
847, GXS, Negative
848, GXS, Neutral
849, GXS, Negative
850, GXS, Negative
851, GXS, Positive
852, GXS, Negative
853, GXS, Negative
854, GXS, Neutral
855, GXS, Negative
856, GXS, Positive
857, GXS, Neutral
858, GXS, Positive
859, GXS, Positive
860, GXS, Negative
861, GXS, Negative
862, GXS, Neutral
863, GXS, Negative
864, GXS, Negative
865, GXS, Neutral
866, GXS, Positive
867, GXS, Negative
868, GXS, Negative
869, GXS, Negative
870, GXS, Negative
871, GXS, Negative
872, GXS, Neutral
873, GXS, Negative
874, GXS, Positive
875, GXS, Negative
876, GXS, Neutral
877, GXS, Negative
878, GXS, Negative
879, GXS, Positive
880, GXS, Negative
881, GXS, Neutral
882, GXS, Negative
883, GXS, Negative
884, GXS, Neutral
885, GXS, Negative
886, GXS, Negative
887, GXS, Negative
888, GXS, Positive
889, GXS, Neutral
890, GXS, Neutral
891, GXS, Negative
892, GXS, Negative
893, GXS, Positive
894, GXS, Neutral
895, Trust, Positive
896, Trust, Negative
897, Trust, Negative
898, Trust, Positive
899, Trust, Positive
900, Trust, Positive
901, Trust, Positive
902, Trust, Positive
903, Trust, Positive
904, Trust, Positive
905, Trust, Positive
906, Trust, Neutral
907, Trust, Negative
908, Trust, Positive
909, Trust, Positive
910, Trust, Positive
911, Trust, Positive
912, Trust, Neutral
913, Trust, Neutral
914, Trust, Positive
915, Trust, Positive
916, Trust, Neutral
917, Trust, Negative
918, Trust, Positive
919, Trust, Neutral
920, Trust, Negative
921, Trust, Positive
922, Trust, Negative
923, Trust, Negative
924, Trust, Negative
925, Trust, Positive
926, Trust, Negative
927, Trust, Neutral
928, Trust, Negative
929, Trust, Negative
930, Trust, Negative
931, Trust, Negative
932, Trust, Positive
933, Trust, Negative
934, Trust, Negative
935, Trust, Positive
936, Trust, Negative
937, Trust, Positive
938, Trust, Negative
939, Trust, Positive
940, Trust, Negative
941, Trust, Positive
942, Trust, Positive
943, Trust, Positive
944, Trust, Negative
945, Trust, Negative
946, Trust, Negative
947, Trust, Negative
948, Trust, Negative
949, Trust, Neutral
950, Trust, Positive
951, Trust, Positive
952, Trust, Negative
953, Trust, Negative
954, Trust, Negative
955, Trust, Neutral
956, Trust, Positive
957, Trust, Positive
958, Trust, Positive
959, Trust, Negative
960, Trust, Positive
961, Trust, Positive
962, Trust, Neutral
963, Trust, Negative
964, Trust, Negative
965, Trust, Negative
966, Trust, Negative
967, Trust, Negative
968, Trust, Positive
969, Trust, Negative
970, Trust, Negative
971, Trust, Negative
972, Trust, Negative
973, Trust, Positive
974, Trust, Positive
975, Trust, Neutral
976, Trust, Neutral
977, Trust, Negative
978, Trust, Negative
979, Trust, Negative
980, Trust, Neutral
981, Trust, Neutral
982, Trust, Negative
983, Trust, Negative
984, Trust, Positive
985, Trust, Negative
986, Trust, Neutral
987, Trust, Negative
988, Trust, Neutral
989, Trust, Negative
990, Trust, Negative
991, Trust, Negative
992, Trust, Negative
993, Trust, Negative
994, Trust, Negative
995, Trust, Neutral
996, Trust, Negative
997, Trust, Negative
998, Trust, Negative
999, Trust, Negative
1000, Trust, Negative
1001, Trust, Negative
1002, Trust, Negative
1003, Trust, Negative
1004, Trust, Negative
1005, Trust, Negative
1006, Trust, Negative
1007, Trust, Negative
1008, Trust, Negative
1009, Trust, Negative
1010, Trust, Neutral
1011, Trust, Negative
1012, Trust, Negative
1013, Trust, Negative
1014, Trust, Negative
1015, Trust, Negative
1016, Trust, Negative
1017, Trust, Negative
1018, Trust, Negative
1019, Trust, Negative
1020, Trust, Negative
1021, Trust, Negative
1022, Trust, Neutral
1023, Trust, Negative
1024, Trust, Neutral
1025, Trust, Negative
1026, Trust, Negative
1027, Trust, Positive
1028, Trust, Positive
1029, Trust, Negative
1030, Trust, Negative
1031, Trust, Negative
1032, Trust, Neutral
1033, Trust, Neutral
1034, Trust, Negative
1035, Trust, Positive
1036, Trust, Negative
1037, Trust, Negative
1038, Trust, Negative
1039, Trust, Neutral
1040, Trust, Negative
1041, Trust, Negative
1042, Trust, Negative
1043, Trust, Neutral
1044, Trust, Negative
1045, Trust, Negative
1046, Trust, Positive
1047, Trust, Negative
1048, Trust, Negative
1049, Trust, Negative
1050, Trust, Negative
1051, Trust, Negative
1052, Trust, Neutral
1053, Trust, Neutral
1054, Trust, Negative
1055, Trust, Neutral
1056, Trust, Neutral
1057, Trust, Negative
1058, Trust, Negative
1059, Trust, Positive
1060, Trust, Positive
1061, Trust, Negative
1062, Trust, Negative
1063, Trust, Negative
1064, Trust, Positive
1065, Trust, Neutral
1066, Trust, Negative
1067, Trust, Neutral
1068, Trust, Positive
1069, Trust, Negative
1070, Trust, Positive
1071, Trust, Negative
1072, Trust, Positive
1073, Trust, Negative
1074, Trust, Negative
1075, Trust, Positive
1076, Trust, Negative
1077, Trust, Negative
1078, Trust, Positive
1079, Trust, Negative
1080, Trust, Positive
1081, Trust, Neutral
1082, Trust, Negative
1083, Trust, Negative
1084, Trust, Positive
1085, Trust, Positive
1086, Trust, Neutral
1087, Trust, Positive
1088, Trust, Negative
1089, Trust, Negative
1090, Trust, Neutral
1091, Trust, Neutral
1092, Trust, Negative
1093, Trust, Negative
