rowid,date,client,bank,rating,review,sentiment,service,issue
10,2023-11-21 09:22:11,Apple,GXS,5.0,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,Neutral,Banking,Interest rate concerns
11,2023-08-22 10:22:46,Apple,GXS,1.0,"My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payee’s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list, it’s easy to make mistakes entering long account number, name and bank name each time.",Negative,App,Difficulty applying savings account
12,2024-01-11 08:48:28,Apple,GXS,5.0,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!",Positive,Banking,-
13,2023-06-05 15:00:14,Apple,GXS,5.0,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too.",Positive,App,-
14,2022-10-31 05:18:02,Apple,GXS,5.0,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,Negative,Banking,None
15,2023-11-16 19:29:12,Apple,GXS,5.0,"GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!",Positive,App,-
16,2022-10-06 02:05:55,Apple,GXS,5.0,"I recently used this digital bank, which has many security features and user friendly UI.
I 100% recommend to used this App.",Neutral,Banking,Other
17,2022-12-16 02:50:05,Apple,GXS,5.0,"The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)",Positive,App,-
18,2023-09-12 05:10:29,Apple,GXS,1.0,Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,Negative,App,Lack of expected features or functionality
19,2024-02-24 06:12:02,Apple,GXS,1.0,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star.",Negative,App,Other
20,2023-12-07 07:21:02,Apple,GXS,5.0,"Wish more people can download and use, and more rewards can be given.",Positive,App,-
21,2024-03-19 03:38:30,Apple,GXS,5.0,Very smooth to use and attractive app. Simple features and excited to see more advanced banking features in future.,Positive,App,-
22,2023-12-06 09:00:01,Apple,GXS,5.0,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),Positive,App,-
23,2023-11-11 07:18:42,Apple,GXS,5.0,Can try for saving money !! My money said they liked there,Positive,App,-
24,2023-09-25 01:04:27,Apple,GXS,5.0,Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,Positive,App,-
25,2023-11-15 02:39:34,Apple,GXS,5.0,"Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!",Neutral,App,Other
26,2022-12-07 12:19:51,Apple,GXS,5.0,J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :),Neutral,App,None
27,2022-12-07 06:31:42,Apple,GXS,5.0,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential 👍🏼,Positive,App,-
28,2022-12-09 03:47:29,Apple,GXS,5.0,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,Positive,App,-
29,2022-09-06 17:57:25,Apple,GXS,2.0,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,Negative,App,Registration and setup
30,2023-11-21 07:13:17,Apple,GXS,5.0,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,Positive,App,-
31,2022-10-04 13:02:31,Apple,GXS,5.0,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,Positive,App,-
32,2024-02-10 03:22:39,Apple,GXS,5.0,This app is easy to use.,Positive,App,-
33,2024-02-17 11:21:01,Apple,GXS,5.0,User friendly,Positive,App,-
34,2023-12-06 08:45:43,Apple,GXS,5.0,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,Neutral,App,None
35,2023-11-18 08:52:03,Apple,GXS,5.0,Best digital bank in my opinion I prefer this over its competitors:),Positive,None,-
36,2023-06-05 11:16:31,Apple,GXS,5.0,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!",Positive,App,-
37,2023-06-06 02:44:38,Apple,GXS,5.0,Very convenient and easy to understand and use,Positive,App,-
38,2022-09-16 07:19:33,Apple,GXS,1.0,"Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur ‘launch’ aka beta testing 🤦🏻

Update: doesn’t bode well… even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch",Negative,App,Other
39,2023-07-25 14:17:22,Apple,GXS,1.0,"Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isn’t planing to offer, please stop advertising that. Thanks!",Neutral,App,Other
40,2023-08-11 11:02:39,Apple,GXS,3.0,It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,Neutral,App,Other
41,2023-01-20 04:35:32,Apple,GXS,2.0,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,Negative,App,Login issues
42,2022-09-12 05:46:10,Apple,GXS,5.0,"Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!",Positive,App,-
43,2024-02-25 07:24:03,Apple,GXS,5.0,The app is easy to navigate and optimise for people of all ages.,Positive,App,-
44,2023-11-15 06:52:28,Apple,GXS,5.0,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?",Positive,App,-
45,2023-06-11 00:50:35,Apple,GXS,5.0,Try it and you will love it.,Positive,App,-
46,2023-06-05 10:16:52,Apple,GXS,5.0,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!",Positive,App,-
47,2023-12-06 08:35:07,Apple,GXS,5.0,"There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum",Positive,App,-
48,2023-08-13 12:05:53,Apple,GXS,1.0,"It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods.",Negative,Banking,Interest rate concerns
49,2023-06-05 11:34:48,Apple,GXS,5.0,Easy to use and log in! Very clean instruction.,Positive,App,-
50,2023-06-05 10:23:48,Apple,GXS,5.0,"Simple, straightforward to use with no bugs. Great experience",Positive,App,-
51,2022-10-03 06:17:01,Apple,GXS,5.0,"Really like the details in the app, will definitely use it daily!",Positive,App,-
52,2023-05-30 13:19:00,Apple,GXS,5.0,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted.",Positive,App,-
53,2023-07-19 06:05:49,Apple,GXS,1.0,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you, it’s us”. 

Ummmm okayyyy",Neutral,Email,-
54,2022-12-10 13:18:37,Apple,GXS,5.0,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,Positive,App,-
55,2023-11-10 11:37:30,Apple,GXS,5.0,Simple and easy,Positive,App,-
56,2023-12-23 08:46:14,Apple,GXS,1.0,"Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users.",Neutral,Banking,Other
57,2022-12-07 06:14:34,Apple,GXS,5.0,Intuitive and easy to set up,Positive,App,-
58,2023-12-11 17:42:41,Apple,GXS,5.0,Friendly use apps,Positive,App,-
59,2023-08-07 08:36:43,Apple,GXS,1.0,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.,Neutral,Banking,Interest rate concerns
60,2022-12-23 04:53:44,Apple,GXS,3.0,"Personally don’t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable 😞",Negative,App,UI/UX
61,2023-06-05 15:00:50,Apple,GXS,5.0,Very friendly app,Positive,App,-
62,2023-12-03 15:49:37,Apple,GXS,5.0,This is very good. Really very helpful. I Will keep in touch with them. 👌🏽😍,Positive,App,-
63,2023-11-20 08:16:12,Apple,GXS,5.0,Such a great service compared to Bank,Positive,App,-
64,2023-06-05 10:26:09,Apple,GXS,5.0,Easy to use with high interest rate,Negative,App,Other
65,2023-06-05 11:50:22,Apple,GXS,5.0,Makes banking easy to use,Positive,App,-
66,2022-09-05 01:49:32,Apple,GXS,5.0,Nice design!,Positive,App,-
67,2023-11-10 14:32:16,Apple,GXS,5.0,You get the highest saving interest rate on the market,Positive,Banking,-
68,2024-02-21 14:03:59,Apple,GXS,1.0,Show allow to increase amount not reduce and stay that way. For a first timer I didn’t know that once I reduce amt I cannot get back the original amount that is given to me.,Positive,App,-
69,2023-12-09 04:06:51,Apple,GXS,5.0,Guys u guy to try this out,Neutral,App,Other
70,2023-08-14 04:56:05,Apple,GXS,2.0,"Income extracted from SingPass is incorrect.
Information in SingPass is correct
Which means the process of extracting information needs to be updated.",Negative,Banking,Other
71,2023-01-24 15:24:38,Apple,GXS,1.0,This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.,Negative,Banking,Account issues
72,2023-11-02 13:47:28,Apple,GXS,5.0,Loan disbursement was immediate. App is simple to use. Repayments just as easy.,Positive,App,-
73,2023-10-08 10:35:35,Apple,GXS,5.0,Best and fast loan approval,Positive,None,-
74,2023-07-21 23:56:46,Apple,GXS,1.0,"Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and wait……………..no ends!!!!!👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",Negative,App,Technical glitches
75,2023-11-15 11:32:12,Apple,GXS,1.0,"I cannot open the app at all, even after updates it keeps telling something went wrong.",Negative,App,Technical glitches
76,2023-09-19 01:56:43,Apple,GXS,1.0,increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive,Negative,App,Other
77,2023-09-25 13:13:58,Apple,GXS,1.0,DO NOT USE THIS APP!!!! So frustrating on this app. 3 times I tried to move a small portion of money out of my pocket. 3 times the pocket becomes $0 straight away and I can’t move/transfer my money out!!!!!!!!!!!!!,Negative,App,Account issues
78,2023-07-27 17:29:44,Apple,GXS,1.0,Gave an application to open account but the bank decided to cancel opening new accounts and the “bank” didnt even bother to inform clients! May be its a gods sign to save my money.,Negative,Banking,Account issues
79,2023-05-02 10:56:52,Apple,GXS,1.0,"App keeps giving me “something went wrong” and “it’s not you, it’s us” notification whenever I attempt to log-in. Totally unusually at this time of writing.",Negative,App,Login issues
80,2023-02-11 06:45:17,Apple,GXS,4.0,could you add a way to sign in using singpass password instead of only having to use the app?,Neutral,App,Other
81,2023-12-06 03:56:06,Apple,GXS,5.0,Gxs provide good interest for their pocket savings.,Positive,App,-
82,2022-10-09 03:24:14,Apple,GXS,1.0,"Not prepared? Then don’t launch. See your direct competitor got a pure breeze of experience. Onboarding was swift and fast. Just think the reviews here are just made by the staff lol, focusing on UI/UX what a joke. Best UI/UX where others cannot experience YET.",Negative,App,Other
83,2024-03-15 17:03:19,Apple,GXS,1.0,Apply one year ago..say when slots open up will let me know ..efficient bank sureee,Neutral,Banking,Other
84,2024-01-18 08:45:46,Apple,GXS,1.0,"When you asked your staff to write a 5* review, don’t just get them to write great app, easy to use or hurray. Write how did the app help you, how you benefit from the app and why the app is soooo good?",Negative,App,Other
85,2022-12-14 09:36:34,Apple,GXS,5.0,"Love the modern design, user experience was great as well.",Positive,App,-
86,2023-07-22 08:18:56,Apple,GXS,1.0,"Pls improve your good service for any person who are really need it,hope the app can improve soon",Neutral,Banking,Other
87,2023-07-18 19:22:58,Apple,GXS,5.0,Efficient,Positive,App,-
88,2022-10-03 04:57:18,Apple,GXS,5.0,A whole new era of banking. Go GXS or go home! 💪🏼,Positive,App,-
89,2022-12-09 01:34:39,Apple,GXS,5.0,Great UI and user-friendly,Positive,App,-
90,2023-05-24 13:59:56,Apple,GXS,1.0,Sent me texts and email to tell me I am selected for flexi loan . But non is approved . Said borrow from $200 and above but can’t even borrow $200 😂 rejected all of my friend and family members . So who can borrow ? Millionaire ?,Negative,App,Other
91,2023-12-10 04:26:02,Apple,GXS,5.0,"Fair and transparent loans.
Interest is not like the atypical bank that is out to profit and cripple the debtor.",Neutral,Banking,Other
92,2023-11-10 15:26:02,Apple,GXS,1.0,Keep creating account to write fake 5 star reviews when your app is so buggy and processing time is so slow. Worst banking app ever!,Negative,App,Other
93,2023-07-27 05:20:02,Apple,GXS,1.0,"Useless, lacks features and does not provide any improvement from traditional banks available in Singapore",Negative,App,Lack of expected features or functionality
94,2023-08-08 06:46:48,Apple,GXS,1.0,"Reduced interest from 3.48 to 2.68% in less than a month, kenna baited to start an account here. Have removed all my funds and closed my account.",Negative,Banking,Interest rate concerns
95,2023-11-25 12:17:15,Apple,GXS,5.0,"THIS LITERALLY SAVED ME, i recommendation is high as the giant touches the sky",Positive,App,-
96,2023-11-23 09:53:53,Apple,GXS,1.0,When I sign up can’t sign up always say oops something went wrong please try again,Negative,App,Registration and setup
97,2024-01-01 09:24:31,Apple,GXS,5.0,Good to use,Positive,App,-
98,2023-06-05 10:21:00,Apple,GXS,5.0,Great plat form … easy to use and hassle free.,Positive,App,-
99,2023-11-10 06:44:02,Apple,GXS,5.0,reliable and quick response,Positive,App,-
100,2023-05-04 09:39:02,Apple,GXS,3.0,Can’t login after applying?????????,Negative,App,Login issues
101,2023-07-20 13:20:09,Apple,GXS,5.0,Pockets are unique and useful,Positive,App,-
102,2022-10-03 07:18:03,Apple,GXS,5.0,Good interest rate on pockets and great user experience.,Positive,App,-
103,2022-10-03 05:34:14,Apple,GXS,5.0,Love the savings pockets and daily interest!,Positive,App,-
104,2022-12-28 14:59:22,Apple,GXS,5.0,Did an intern write that script? Nice.,Neutral,App,Other
105,2023-12-06 08:35:24,Apple,GXS,5.0,Nice And Fast Bank,Positive,App,-
106,2022-09-06 23:39:37,Apple,GXS,1.0,Best get back to the drawing board. Design thinking  forget about the  many “dumb” users out there including me.,Negative,App,Other
107,2023-01-24 13:43:09,Apple,GXS,1.0,"What if I urgently need access to my money? This is not the way to go.
🤬",Neutral,Banking,Other
108,2022-12-09 06:35:51,Apple,GXS,1.0,Deleted the app. Sick of it serving no other purpose currently than being a lead generator.,Negative,App,Other
109,2022-09-22 02:01:38,Apple,GXS,5.0,"Awesome, easy n fun to use! 😊",Positive,App,-
110,2023-01-20 05:03:23,Apple,GXS,1.0,"Access to funds blocked, no transparency apart from it being a recognized technical issue, no ETA and no communications from Grab or Singtel.",Negative,Banking,Technical glitches
111,2022-12-07 07:51:10,Apple,GXS,5.0,"app is really easy to navigate, user-friendly",Positive,App,-
112,2023-07-24 09:21:23,Apple,GXS,1.0,Unable to sign in to account,Negative,Banking,Login issues
113,2024-01-15 14:04:23,Apple,GXS,3.0,Is this really an authentic app for GXS? Looks cheap.,Neutral,App,Other
114,2023-12-07 13:07:57,Apple,GXS,5.0,save ur money and grow,Positive,App,-
115,2023-12-06 04:22:42,Apple,GXS,5.0,Good to use,Positive,App,-
116,2023-08-07 13:41:20,Apple,GXS,1.0,Lack the basic function to save a payee,Negative,App,Lack of expected features or functionality
117,2023-09-21 13:04:04,Apple,GXS,1.0,Does not make sense.,Negative,App,Other
118,2023-11-02 06:38:15,Apple,GXS,1.0,"useless app.  unable to join or open account,
app is not open to all in sg",Negative,App,Registration and setup
119,2022-12-30 00:52:29,Apple,GXS,5.0,Great features! Love it!,Positive,App,-
120,2023-11-10 06:48:41,Apple,GXS,4.0,Good app,Positive,App,-
121,2023-08-07 10:44:08,Apple,GXS,1.0,first bank to reduce interest rates for savings but interest rates for loans stay high,Positive,Banking,-
122,2023-06-05 10:57:26,Apple,GXS,5.0,Love the app,Positive,App,-
123,2023-11-15 07:36:00,Apple,GXS,5.0,Good,Positive,None,-
124,2022-09-22 01:51:42,Apple,GXS,5.0,= x o,Neutral,App,Other
125,2024-03-07 07:24:52,Apple,GXS,1.0,heheh,Neutral,App,Other
126,2023-07-18 03:44:25,Apple,GXS,1.0,Only for PR and SP,Neutral,App,The user interface of our app is not user-friendly.
127,2023-09-29 13:18:27,Apple,GXS,5.0,Wow,Positive,App,-
128,2022-09-16 18:40:11,Apple,GXS,5.0,🚀🚀🚀🚀🚀,Positive,App,-
129,2023-07-24 03:31:10,Apple,GXS,1.0,"I was trying to make payment using Paynow Qr code using scan and pay. Merchant create a dynamic QR code of payment $15.7 but the GXS app scan and pay read in as $15.07
Pls advice to correct the mistake as it make me and merchant very inconvenience.",Neutral,App,Transaction errors
130,2023-07-22 01:33:39,Apple,GXS,1.0,安全漏洞！下载要小心！即使用SingPass 开户也一样不安全！Bug 导致无法通过！,Negative,Banking,Other
131,2023-07-20 23:27:11,Apple,GXS,1.0,"21 Jul 23:
The integration on iPad is off. The first time login requires SingPass as a safety feature but it doesn’t generate a QR Code. Devs should consider a workaround. 

Pending dev feedback before rating change.",Negative,App,Login issues
132,2022-11-08 02:34:34,Apple,Trust,5.0,"I had my card locked the night before, and contacted customer service through the app. The first time I called them, and after being put on hold, the call disconnected. I then left them a message. They told me to tap on a notification to authorise a payment in the app, but I couldn't. I referred this to another customer service personnel and was told the same thing, and insisting there is a notification i can tap to unlock my card, when I tried tapping every single one of my notifications in app, with 0 of them giving me any instructions 

When i asked if theres a Website to access the notifications, or if the bank can unlock the card from their side, the customer service officer just said “they’ll refer my case and unlock my card in 3 working days”, and asked if I have any other issues. Just as i was about to type, the person left the chatroom.

Extremely annoyed at this entire situation, and if this app can streamline the customer service process, I would have rated it higher.",Negative,Banking,Long wait times
133,2023-02-11 16:16:27,Apple,Trust,5.0,"Been using it for 3 months, everything’s great! Getting bonuses just by spending $200 outside of NTUC is so much less stressful and much more achievable than some other banks which require spending $500 monthly. Love the coupons and vouchers, first time having an app where the coupons/vouchers are much more relatable and useful, just my personal opinion. Notifications will be there whenever there’s a new transaction or the transaction has been processed. Using it for transactions overseas was also really convenient. Customer service was good too, not sure why there are so many people complaining about it. App is smooth overall, just some hiccups when Face ID was suddenly not available (deleting and re-download the app helps). But knowing that it’s still a very new digital bank, these kinds of errors may be unavoidable at the start. Great job overall, keep it up!",Positive,None,-
134,2022-09-07 05:38:04,Apple,Trust,1.0,"On 04Sept, i accidentally clicked “yes” to be enrolled into their insurance plan. I immediately called their Customer Service hotline which said to be “24*7” however no one answered. I have been keep calling in the last three days and no matter what time I cal and how long I wait, there is forever no one answers. I feel like calling to a ghost. Imagine the other your card was lost and need immediate attention but no one is there to help you, do you still want to bank with them?
On 05Sept, I left a message in the chat group for help. After waiting for hours, someone answered saying I can cancel either on the Insurance’s official website or via email. I wrote an email and followed up twice in the last two days, but again, no one reply. Then I asked in the chat group on 06Sept on how to cancel on website since no one replies my email, and again, after waiting for hours, they told they also not sure and need a specialist to advise…However, till now there is still no so called “Specialist” to contact me…
Such digital bank like Trust might be good at beginning with promotions/coupons. But what can eventually make their customers stay is the “Service”. Can your imagine their Customer Service is like such?",Neutral,Banking,Long wait times
135,2023-08-22 15:41:09,Apple,Trust,1.0,"The interface is not intuitive at all. You literally have to keep tap this and that to get between pages. It's infuriating to say the least. Not to mention, whoever is running this credit card is probably the most apathetic person on Earth. Literally makes you feel like you owe them. Late payment? Good luck. You got to plead your case. Asked for a waiver but you need to provide reason. Are we in school? The cs makes you feel like they are doing you a service and you should be grateful. ""On a one-time goodwill"" I quote them. There's nothing good about this card other than the zero foreign transaction fees. Be careful not to miss your repayment date and think before you set it cause you cannot change it. Very incredibly inflexible to say the least. The cs increases your blood pressure. Even telcos have better cs. Sign for the freebies, redeem those and run. Please get this right, customers do not owe you our business. Stop giving us your elitist attitude. It really feels like I have to praise the gods and kiss the feet of your cs cause they waived a fee. 🤮

And the developer's replies is even more infuriating. It's like rubbing it in your face. Not replying is even better than replying some sarcastic template reply.",Negative,App,UI/UX
136,2023-02-15 14:58:27,Apple,Trust,5.0,"Hi, I’ve been using trust bank for a while now and it is very user friendly and the notifications on transactions are very quick. App is also user friendly. I dont know if my recommendation will ever be implemented but i really hope it does because it will help trust bank stand out from other digibank apps even more. my recommendation is to add a section in the UI to include monthly spendings breakdown by categories. since trust bank already categorises our transactions (groceries, shopping, transport etc), the addition of a pie chart of our spending by category will really elevate the user experience to the next level.",Neutral,Banking,Other
137,2023-10-23 14:01:00,Apple,Trust,1.0,"If you’re a first-time salaried employee and would wish to get a credit card from Trust, you will have no choice but to wait for (S$30,000/your monthly salary) months for your CPF contribution to “tell” the bank that you’ve cumulatively earned the qualifying sum in a year, before they can approve your credit card. There’s no case-by-case assessment available. This is quite a departure from a friendly and smart digital bank image that Trust is trying to portray, and this is ironically, particularly unfriendly to their target audience, young population who are more well-versed in and receptive of technology. Do something, perhaps?

Update: I’ve enquired again through the in app chat as instructed by the reply, the correspondent threw me the same reason, telling me I didn’t meet the requirements. So I decided to get creative and tried applying a Standard Chartered (Trust’s partial owner) card using SingPass, guess what, instant approval.

Substandard bank indeed. Kindly refrain from replying with templated reply, thanks.",Neutral,Banking,Account issues
138,2022-10-06 03:11:42,Apple,Trust,1.0,"Credit card was approved in minutes, however my card got locked immediately after my first online transaction via PayPal. I’ve called the bank several times to verify that the transaction was done by me and requested for the card to be unlocked. I received the same response every time stating that the “Fraud Team is still investigating” and “there’s nothing they can do from their end as it’s pending the Fraud Team’s action”. I’ve no clue what the Fraud Team is investigating when I, the owner of the card, has already confirmed the transaction. And even if a investigation was needed, it’s been more than 12 hours and still no progress? For similar issues with other banks, usually the customer service officer would be able to help and have the card unlocked within 30mins. Other than the fast credit card approval process, the time taken for Trust Bank to resolve matters have really made the banking experience an unpleasant one.",Positive,App,-
139,2023-06-12 04:27:05,Apple,Trust,1.0,"Now that I’m happy to use the Trust Card for more transactions, I’m told by their Customer Service that is not possible to raise the credit limit “as the feature is not available”. This is the most ridiculous piece of info I have ever heard. When I first applied for the card, I set a very low credit limit of $2.5k when my salary would qualify for a much higher limit, thinking that if I want to use it more, I could always ask for an increase in the credit limit later, just like how we do with other banks. It is a total disappointment to be given such a reply that it is not possible. I asked if their back office can’t process a simple credit limit increase request, then does this warrant a card cancellation and a re-application to get a higher credit limit; and the reply was that this is still subject to the bank’s review. I can’t wrap my head around this one. The lousiest bank ever.",Positive,App,-
140,2022-12-30 11:03:00,Apple,Trust,5.0,So far I am very impressed with your app and services. While using your app on iPhone 8 and X. Recently i changed to iPhone 14 plus. Strangely I could not log in anymore by Singpass. It kept showing a worker sign as if app is under maintenance. A call to customer service ask me reinstall the app which I promptly did. But no avail. 7 days later I try again. Same issue. I am sure there is a way for me to log into my account. Kindly advice,Positive,App,-
141,2022-10-11 06:48:26,Apple,Trust,2.0,"I was late with first payment and promptly slapped with late fees. Tried to get waiver and explain that I had not received help with setting up giro but could  not get through to Cust service. Left a chat message but received a response only 3 hours later with a question, which I of course did not read (who waits 3 hours for a chat response). Within minutes of that very late response (as seen on the chat record), the chat said since I did not reply the matter was considered closed!! I have again tried to speak with CS without success and have left a chat message requesting comms through email or voice. Let’s see… I fear this kind of banking is loaded against us the customer. I am quite wary",Neutral,Banking,Long wait times
