rowid,bank,sentiment,problem_category,issue
176, Trust, Negative,app,Difficulty applying credit card
177, Trust, Neutral,app,other
178, Trust, Negative,banking,technical glitches
179, Trust, Positive,banking,
180, Trust, Positive,none,
181, Trust, Negative,app,Difficulty applying credit card
182, Trust, Neutral,bank,technical glitches
183, Trust, Negative,bank,Long Wait Times
184, Trust, Positive,app,
185, Trust, Negative,app,other
186, Trust, Neutral,app,other
187, Trust, Neutral,app,technical glitches
188, Trust, Negative,app,other
189, Trust, Negative,app,technical glitches
190, Trust, Neutral,app,login issues
191, Trust, Positive,app,
192, Trust, Neutral,app,technical difficulties during registration and setup
193, Trust, Negative,app,technical glitches
194, Trust, Neutral,app,none
195, Trust, Negative,app,other
196, Trust, Negative,app,technical glitches
197, Trust, Negative,banking,other
198, Trust, Neutral,app,Account Access Issues
199, Trust, Negative,banking,Interest rate concerns
200, Trust, Neutral,app,Difficulty applying credit card
201, Trust, Neutral,app,technical difficulties during registration and setup
202, Trust, Positive,app,
203, Trust, Positive,bank,
204, Trust, Neutral,app,other
205, Trust, Negative,banking,Long Wait Times
206, Trust, Neutral,app,none
207, Trust, Positive,app,
208, Trust, Neutral,banking,transaction issues
209, Trust, Neutral,banking,Interest rate concerns
210, Trust, Positive,app,
211, Trust, Neutral,bank,Long Wait Times
212, Trust, Positive,app,
213, Trust, Neutral,app,savings account
214, Trust, Positive,app,
215, Trust, Negative,app,other
216, Trust, Negative,app,login issues
217, Trust, Negative,banking,technical glitches
218, Trust, Negative,bank,technical issues
219, Trust, Neutral,app,none
220, Trust, Positive,app,
221, Trust, Neutral,banking,technical glitches
222, Trust, Positive,app,
223, Trust, Negative,bank,account creation
224, Trust, Negative,app,UI/UX
225, Trust, Positive,app,
226, Trust, Positive,app,
227, Trust, Neutral,app,UI/UX
228, Trust, Neutral,app,login issues
229, Trust, Neutral,app,technical glitches
230, Trust, Positive,app,
231, Trust, Neutral,app,UI/UX
232, Trust, Neutral,app,other
233, Trust, Neutral,banking,none
234, Trust, Negative,app,technical glitches
235, Trust, Neutral,app,Difficulty applying credit card
236, Trust, Negative,banking,other
237, Trust, Negative,app,other
238, Trust, Negative,app,login issues
239, Trust, Negative,bank,other
240, Trust, Negative,banking,Long Wait Times
241, Trust, Negative,app,difficulty_applying_credit_card
242, Trust, Positive,banking,
243, Trust, Negative,app,other
244, Trust, Negative,app,other
245, Trust, Positive,app,
246, Trust, Neutral,bank,other
247, Trust, Negative,app,technical glitches
248, Trust, Positive,app,
249, Trust, Negative,app,login issues
250, Trust, Positive,signup,
251, Trust, Neutral,app,user interface and design issues
252, Trust, Positive,app,
253, Trust, Neutral,app,none
254, Trust, Neutral,banking,none
255, Trust, Negative,app,login issues
256, Trust, Positive,app,
257, Trust, Positive,app,
258, Trust, Positive,app,
259, Trust, Negative,app,Login issues
260, Trust, Negative,banking,other
261, Trust, Positive,app,
262, Trust, Negative,app,none
263, Trust, Positive,banking,
264, Trust, Neutral,app,none
265, Trust, Positive,app,
266, Trust, Negative,app,other
267, Trust, Neutral,banking,other
268, Trust, Positive,banking,
269, Trust, Neutral,bank,other
270, Trust, Negative,banking,other
271, Trust, Neutral,banking,technical glitches
272, Trust, Positive,app,
273, Trust, Negative,banking,Long Wait Times
274, Trust, Neutral,app,other
275, Trust, Positive,app,
276, Trust, Neutral,app,login issues
277, Trust, Positive,app,
278, Trust, Positive,bank,
279, Trust, Neutral,app,user interface and design issues
280, Trust, Neutral,app,technical glitches
281, Trust, Neutral,app,other
282, Trust, Negative,banking,Account issues
283, Trust, Positive,app,
284, Trust, Neutral,app,technical difficulties during registration and setup
285, Trust, Positive,app,
286, Trust, Positive,app,
287, Trust, Neutral,app,none
288, Trust, Positive,app,
289, Trust, Negative,app,UI/UX
290, Trust, Negative,banking,other
291, Trust, Negative,banking,other
292, Trust, Positive,app,
293, Trust, Positive,user_rating,
294, Trust, Negative,app,technical glitches
295, Trust, Positive,app,
296, Trust, Negative,bank,other
297, Trust, Neutral,app,"Difficulty applying credit card, savings account"
298, Trust, Negative,app,other
299, Trust, Negative,bank,Long Wait Times
300, Trust, Negative,app,other
301, Trust, Negative,app,login issues
302, Trust, Positive,app,
303, Trust, Neutral,bank,Transaction issues
304, Trust, Neutral,app,Long Wait Times
305, Trust, Neutral,app,other
306, Trust, Positive,app,
307, Trust, Positive,app,
308, Trust, Positive,none,
309, Trust, Neutral,app,other
310, Trust, Neutral,app,Difficulty applying credit card
311, Trust, Neutral,app,"Difficulty applying credit card, savings account"
312, Trust, Positive,app,
313, Trust, Negative,app,technical difficulties during registration and setup
314, Trust, Negative,app,other
315, Trust, Neutral,app,other
316, Trust, Neutral,banking,application rejection
317, Trust, Negative,banking,technical glitches
318, Trust, Positive,app,
319, Trust, Neutral,app,Difficulty applying credit card
320, Trust, Neutral,bank,Long Wait Times
321, Trust, Positive,app,
322, Trust, Positive,app,
323, Trust, Positive,none,
324, Trust, Positive,app,
325, Trust, Negative,app,Difficulty applying for a savings account
326, Trust, Neutral,app,other
327, Trust, Positive,app,
328, Trust, Neutral,app,other
329, Trust, Positive,app,
330, Trust, Negative,app,other
331, Trust, Neutral,app,other
332, Trust, Negative,app,login issues
333, Trust, Neutral,banking,other
334, Trust, Positive,banking,
335, Trust, Positive,app,
336, Trust, Neutral,app,other
337, Trust, Neutral,app,none
338, Trust, Negative,app,login issues
339, Trust, Positive,app,
340, Trust, Negative,banking,transaction issues
341, Trust, Positive,app,
342, Trust, Neutral,app,other
343, Trust, Positive,app,
344, Trust, Positive,banking,
345, Trust, Positive,app,
346, Trust, Positive,app,
347, Trust, Positive,app,
348, Trust, Negative,app,technical glitches
349, Trust, Negative,app,Difficulty applying credit card
350, Trust, Positive,none,
351, Trust, Negative,app,Long Wait Times
352, Trust, Positive,app,
353, Trust, Positive,app,
354, Trust, Positive,app,
355, Trust, Negative,app,difficulty_applying_credit_card
356, Trust, Negative,banking,transaction issues
357, Trust, Neutral,app,other
358, Trust, Neutral,banking,account issues
359, Trust, Neutral,signup,
360, Trust, Neutral,app,other
361, Trust, Positive,app,
362, Trust, Positive,app,
363, Trust, Neutral,app,other
364, Trust, Positive,app,
365, Trust, Negative,banking,Interest rate concerns
366, Trust, Positive,app,
367, Trust, Neutral,app,other
368, Trust, Neutral,bank,Transaction issues
369, Trust, Neutral,app,Difficulty applying credit card
370, Trust, Neutral,app,other
371, Trust, Negative,banking,technical glitches
372, Trust, Negative,banking,other
373, Trust, Negative,app,"Difficulty applying credit card, savings account"
374, Trust, Positive,app,
375, Trust, Negative,app,technical glitches
376, Trust, Negative,bank,technical glitches
377, Trust, Negative,app,"Difficulty applying credit card, savings account"
378, Trust, Neutral,app,other
379, Trust, Negative,banking,other
380, Trust, Neutral,app,Difficulty applying credit card
381, Trust, Positive,app,
382, Trust, Negative,banking,technical glitches
383, Trust, Positive,app,
384, Trust, Positive,app,
385, Trust, Positive,,
386, Trust, Positive,app,
387, Trust, Neutral,app,other
388, Trust, Positive,app,
389, Trust, Negative,app,login issues
390, Trust, Negative,app,other
391, Trust, Negative,banking,Interest rate concerns
392, Trust, Neutral,pending_credit,
393, Trust, Negative,app,other
394, Trust, Positive,app,
395, Trust, Negative,banking,account issues
396, Trust, Neutral,app,Difficulty applying credit card
397, Trust, Positive,app,
398, Trust, Positive,app,
399, Trust, Neutral,app,other
400, Trust, Positive,app,
401, Trust, Negative,app,technical glitches
402, Trust, Positive,app,
403, Trust, Positive,app,
404, Trust, Neutral,app,other
405, Trust, Negative,app,"Difficulty applying credit card, savings account"
406, Trust, Positive,app,
407, Trust, Positive,app,
408, Trust, Negative,app,other
409, Trust, Negative,app,login issues
410, Trust, Negative,banking,technical glitches
411, Trust, Neutral,app,other
412, Trust, Positive,app,
413, Trust, Positive,app,
414, Trust, Positive,app,
415, Trust, Positive,banking,
416, Trust, Negative,banking,application rejection
417, Trust, Negative,app,login issues
418, Trust, Positive,app,
419, Trust, Negative,app,technical glitches
420, Trust, Positive,app,
421, Trust, Negative,app,"Difficulty applying credit card, savings account"
422, Trust, Negative,banking,other
423, Trust, Neutral,banking,other
424, Trust, Negative,banking,Long Wait Times
425, Trust, Neutral,app,other
426, Trust, Positive,app,
427, Trust, Negative,app,technical difficulties during registration and setup
428, Trust, Positive,app,
429, Trust, Negative,app,other
430, Trust, Negative,app,technical difficulties during registration and setup
431, Trust, Negative,app,login issues
432, Trust, Positive,app,
433, Trust, Positive,app,
434, Trust, Negative,app,Difficulty applying credit card
435, Trust, Negative,app,Difficulty applying credit card
436, Trust, Positive,app,
437, Trust, Positive,app,
438, Trust, Negative,banking,other
439, Trust, Neutral,app,other
440, Trust, Negative,banking,Long Wait Times
441, Trust, Positive,app,
442, Trust, Positive,app,
443, Trust, Positive,app,
444, Trust, Neutral,banking,Interest rate concerns
445, Trust, Negative,app,Login issues
446, Trust, Neutral,app,other
447, Trust, Neutral,app,other
448, Trust, Negative,app,technical glitches
449, Trust, Neutral,banking,technical issues
450, Trust, Neutral,bank,account issues
451, Trust, Negative,app,Difficulty applying credit card
452, Trust, Positive,app,
453, Trust, Positive,app,
454, Trust, Positive,none,
455, Trust, Positive,app,
456, Trust, Negative,app,Account Access Issues
457, Trust, Negative,app,login issues
458, Trust, Neutral,app,other
459, Trust, Positive,app,
460, Trust, Positive,banking,
461, Trust, Negative,app,technical glitches
462, Trust, Neutral,app,other
463, Trust, Positive,app,
464, Trust, Positive,app,
465, Trust, Neutral,app,Singpass authentication issues
466, Trust, Neutral,banking,technical glitches
467, Trust, Negative,app,other
468, Trust, Neutral,bank,other
469, Trust, Positive,app,
470, Trust, Neutral,banking,Long Wait Times
471, Trust, Neutral,app,login issues
472, Trust, Neutral,app,UI/UX
473, Trust, Neutral,banking,account issues
474, Trust, Negative,app,Long Wait Times
475, Trust, Neutral,banking,other
476, Trust, Negative,banking,Long Wait Times
477, Trust, Negative,app,technical glitches
478, Trust, Negative,banking,account issues
479, Trust, Neutral,banking,account issues
480, Trust, Negative,app,other
481, Trust, Positive,banking,
482, Trust, Positive,app,
483, Trust, Negative,app,other
484, Trust, Positive,app,
485, Trust, Neutral,app,other
486, Trust, Negative,app,other
487, Trust, Negative,banking,Long Wait Times
488, Trust, Positive,app,
489, Trust, Neutral,banking,transaction issues
490, Trust, Neutral,app,"difficulty applying credit card, savings account"
491, Trust, Negative,app,user interface and design issues
492, Trust, Positive,app,
493, Trust, Negative,banking,other
494, Trust, Negative,app,"Difficulty applying credit card, savings account"
495, Trust, Positive,app,
496, Trust, Negative,app,technical difficulties during registration and setup
497, Trust, Negative,banking,Long Wait Times
498, Trust, Positive,app,
499, Trust, Negative,app,technical glitches
500, Trust, Negative,app,technical glitches
501, Trust, Positive,app,
502, Trust, Neutral,app,technical glitches
503, Trust, Positive,app,
504, Trust, Negative,banking,other
505, Trust, Negative,app,technical difficulties during registration and setup
506, Trust, Negative,banking,other
507, Trust, Negative,app,other
508, Trust, Positive,app,
509, Trust, Negative,banking,technical issues
510, Trust, Negative,banking,other
511, Trust, Neutral,app,technical difficulties during registration and setup
512, Trust, Neutral,app,other
513, Trust, Negative,app,technical glitches
514, Trust, Negative,app,technical difficulties during registration and setup
515, Trust, Neutral,banking,technical glitches
516, Trust, Positive,none,
517, Trust, Positive,app,
518, Trust, Positive,app,
519, Trust, Positive,app,
520, Trust, Neutral,banking,other
521, Trust, Neutral,signup,
522, Trust, Negative,app,other
523, Trust, Negative,app,other
524, Trust, Positive,app,
525, Trust, Neutral,banking,account issues
526, Trust, Negative,app,technical difficulties during registration and setup
527, Trust, Negative,app,long wait times
528, Trust, Negative,app,Difficulty applying credit card
529, Trust, Negative,app,technical glitches
530, Trust, Negative,app,user interface and design issues
531, Trust, Negative,app,"Difficulty applying credit card, savings account"
532, Trust, Neutral,app,other
533, Trust, Negative,app,technical difficulties during registration and setup
534, Trust, Positive,app,
535, Trust, Negative,app,technical difficulties
536, Trust, Positive,app,
537, Trust, Neutral,banking,Long Wait Times
538, Trust, Positive,app,
539, Trust, Positive,app,
540, Trust, Negative,banking,Long Wait Times
541, Trust, Negative,app,Long Wait Times
542, Trust, Positive,app,
543, Trust, Negative,app,Long Wait Times
544, Trust, Neutral,app,other
545, Trust, Positive,app,
546, Trust, Positive,app,
547, Trust, Negative,app,other
548, Trust, Negative,banking,account issues
549, Trust, Negative,app,technical glitches
550, Trust, Negative,app,other
551, Trust, Negative,app,other
552, Trust, Positive,app,
553, Trust, Positive,app,
554, Trust, Neutral,app,technical glitches
555, Trust, Negative,app,technical glitches
556, Trust, Positive,app,
557, Trust, Negative,app,technical glitches
558, Trust, Negative,app,other
559, Trust, Negative,app,login issues
560, Trust, Positive,new_account,
561, Trust, Positive,app,
562, Trust, Positive,app,
563, Trust, Neutral,app,other
564, Trust, Positive,none,
565, Trust, Negative,bank,other
566, Trust, Negative,bank,Long Wait Times
567, Trust, Negative,app,Long Wait Times
568, Trust, Positive,app,
569, Trust, Negative,banking,other
570, Trust, Neutral,app,Long Wait Times
571, Trust, Negative,app,other
572, Trust, Positive,app,
573, Trust, Negative,banking,other
574, Trust, Neutral,app,user interface and design issues
575, Trust, Positive,app,
576, Trust, Neutral,app,The user interface is not intuitive and I'm having trouble finding certain features.
577, Trust, Negative,app,other
578, Trust, Negative,app,"Difficulty applying credit card, savings account"
579, Trust, Neutral,app,other
580, Trust, Positive,app,
581, Trust, Negative,banking,Long Wait Times
582, Trust, Positive,app,
583, Trust, Neutral,app,other
584, Trust, Negative,banking,Long Wait Times
585, Trust, Positive,app,
586, Trust, Negative,app,none
587, Trust, Positive,none,
588, Trust, Neutral,bank,As titled
589, Trust, Positive,banking,
590, Trust, Negative,app,"Difficulty applying credit card, savings account"
591, Trust, Neutral,app,other
592, Trust, Neutral,app,other
593, Trust, Neutral,app,other
594, Trust, Negative,app,technical glitches
595, Trust, Negative,banking,Long Wait Times
596, Trust, Positive,none,
597, Trust, Positive,app,
598, Trust, Positive,app,
599, Trust, Negative,banking,technical issues
600, Trust, Positive,app,
601, Trust, Negative,banking,application rejection
602, Trust, Negative,app,other
603, Trust, Positive,,
604, Trust, Positive,app,
605, Trust, Negative,banking,other
606, Trust, Neutral,app,other
607, Trust, Positive,app,
608, Trust, Negative,app,other
609, Trust, Positive,app,
610, Trust, Negative,app,technical difficulties during registration and setup
611, Trust, Negative,banking,account issues
612, Trust, Neutral,app,other
613, Trust, Positive,app,
614, Trust, Negative,app,technical glitches
615, Trust, Positive,none,
616, Trust, Neutral,app,other
617, Trust, Negative,app,technical glitches
618, Trust, Negative,app,other
619, Trust, Positive,app,
620, Trust, Negative,banking,application rejection
621, Trust, Positive,app,
622, Trust, Neutral,banking,other
623, Trust, Positive,app,
624, Trust, Negative,banking,technical glitches
625, Trust, Positive,app,
626, Trust, Positive,app,
627, Trust, Positive,app,
628, Trust, Negative,bank,other
629, Trust, Positive,app,
630, Trust, Positive,app,
631, Trust, Neutral,,
632, Trust, Positive,app,
633, Trust, Neutral,app,other
634, Trust, Positive,app,
635, Trust, Positive,app,
636, Trust, Positive,app,
637, Trust, Positive,app,
638, Trust, Neutral,app,technical difficulties during registration and setup
639, Trust, Neutural,bank,other
640, Trust, Neutral,banking,other
641, Trust, Negative,banking,other
642, Trust, Negative,app,login issues
643, Trust, Neutral,app,other
644, Trust, Neutral,app,login issues
645, Trust, Negative,banking,other
646, Trust, Negative,banking,transaction issues
647, Trust, Negative,banking,Long Wait Times
648, Trust, Negative,app,other
649, Trust, Positive,app,
650, Trust, Negative,app,login issues
651, Trust, Negative,app,login issues
652, Trust, Neutral,app,none
653, Trust, Positive,app,
654, Trust, Neutral,app,other
655, Trust, Negative,banking,account issues
656, Trust, Negative,app,technical glitches
657, Trust, Positive,app,
658, Trust, Negative,app,other
659, Trust, Neutral,app,user interface and design issues
660, Trust, Negative,registration,
661, Trust, Positive,app,
662, Trust, Neutral,app,other
663, Trust, Negative,banking,Long Wait Times
664, Trust, Neutral,app,none
665, Trust, Neutral,banking,other
666, Trust, Negative,banking,account issues
667, Trust, Negative,app,technical difficulties during registration and setup
668, Trust, Positive,app,
669, Trust, Negative,app,other
670, Trust, Positive,app,
671, Trust, Positive,app,
672, Trust, Positive,none,
673, Trust, Neutral,app,other
674, Trust, Positive,app,
696, GXS, Negative,app,other
697, GXS, Negative,app,other
698, GXS, Negative,app,login issues
699, GXS, Neutral,app,other
700, GXS, Neutral,app,other
701, GXS, Negative,banking,application rejection
702, GXS, Negative,app,login issues
703, GXS, Negative,banking,technical glitches
704, GXS, Positive,app,
705, GXS, Positive,banking,
706, GXS, Neutral,app,other
707, GXS, Neutral,app,none
708, GXS, Positive,none,
709, GXS, Negative,app,technical glitches
710, GXS, Neutral,banking,other
711, GXS, Negative,app,other
712, GXS, Positive,app,
713, GXS, Neutral,banking,other
714, GXS, Positive,app,
715, GXS, Negative,app,login issues
716, GXS, Positive,app,
717, GXS, Negative,app,other
718, GXS, Negative,app,technical difficulties during registration and setup
719, GXS, Neutral,bank,Long Wait Times
720, GXS, Negative,banking,technical glitches
721, GXS, Positive,app,
722, GXS, Negative,app,technical difficulties during registration and setup
723, GXS, Positive,app,
724, GXS, Negative,app,technical difficulties during registration and setup
725, GXS, Negative,app,login issues
726, GXS, Positive,none,
727, GXS, Negative,app,other
728, GXS, Negative,banking,technical glitches
729, GXS, Negative,app,other
730, GXS, Positive,app,
731, GXS, Negative,app,technical glitches
732, GXS, Negative,app,other
733, GXS, Positive,app,
734, GXS, Positive,app,
735, GXS, Positive,bank,
736, GXS, Positive,none,
737, GXS, Positive,app,
738, GXS, Positive,app,
739, GXS, Negative,app,technical glitches
740, GXS, Negative,app,other
741, GXS, Negative,app,lack of expected features or functionality
742, GXS, Negative,banking,other
743, GXS, Negative,banking,technical glitches
744, GXS, Negative,app,other
745, GXS, Neutral,app,other
746, GXS, Positive,app,
747, GXS, Neutral,app,login issues
748, GXS, Negative,app,login issues
749, GXS, Negative,app,technical difficulties during registration and setup
750, GXS, Positive,app,
751, GXS, Positive,app,
752, GXS, Positive,app,
753, GXS, Negative,app,other
754, GXS, Negative,banking,Account issues
755, GXS, Positive,app,
756, GXS, Neutral,app,user interface and design issues
757, GXS, Positive,bank,
758, GXS, Positive,app,
759, GXS, Neutral,app,user interface and design issues
760, GXS, Neutral,app,user interface and design issues
761, GXS, Positive,app,
762, GXS, Positive,banking,
763, GXS, Negative,banking,other
764, GXS, Positive,app,
765, GXS, Negative,banking,interest rate concerns
766, GXS, Neutral,banking,other
767, GXS, Negative,app,other
768, GXS, Positive,app,
769, GXS, Negative,banking,account issues
770, GXS, Positive,banking,
771, GXS, Negative,app,other
772, GXS, Negative,app,technical difficulties during registration and setup
773, GXS, Negative,app,Long Wait Times
774, GXS, Negative,app,technical glitches
775, GXS, Neutral,banking,interest rate concerns
776, GXS, Positive,app,
777, GXS, Positive,banking,
778, GXS, Positive,app,
779, GXS, Positive,app,
780, GXS, Positive,app,
781, GXS, Positive,app,
782, GXS, Neutral,bank,application rejection
783, GXS, Negative,banking,other
784, GXS, Negative,app,technical difficulties during registration and setup
785, GXS, Negative,banking,Interest rate concerns
786, GXS, Neutral,app,login issues
787, GXS, Negative,banking,other
788, GXS, Positive,app,
789, GXS, Positive,app,
790, GXS, Negative,app,technical glitches
791, GXS, Negative,app,technical glitches
792, GXS, Negative,app,technical glitches
793, GXS, Negative,banking,Long Wait Times
794, GXS, Negative,app,login issues
795, GXS, Negative,app,technical glitches
796, GXS, Negative,app,technical glitches
797, GXS, Negative,app,technical glitches
798, GXS, Negative,banking,Interest rate concerns
799, GXS, Negative,banking,technical glitches
800, GXS, Negative,app,technical glitches
801, GXS, Negative,banking,technical glitches
802, GXS, Negative,app,other
803, GXS, Negative,banking,technical glitches
804, GXS, Negative,app,technical glitches
805, GXS, Negative,app,Account Access Issues
806, GXS, Negative,banking,Interest rate concerns
807, GXS, Negative,banking,application rejection
808, GXS, Negative,app,login issues
809, GXS, Negative,app,technical glitches
810, GXS, Negative,app,other
811, GXS, Negative,app,technical difficulties during registration and setup
812, GXS, Negative,app,"Difficulty applying credit card, savings account"
813, GXS, Neutral,banking,other
814, GXS, Negative,app,other
815, GXS, Negative,banking,Interest rate concerns
816, GXS, Negative,app,technical glitches
817, GXS, Negative,app,other
818, GXS, Negative,app,other
819, GXS, Negative,app,technical difficulties during registration and setup
820, GXS, Negative,app,other
821, GXS, Negative,app,lack of expected features or functionality
822, GXS, Negative,banking,other
823, GXS, Negative,app,other
824, GXS, Negative,app,technical glitches
825, GXS, Neutral,banking,Interest rate concerns
826, GXS, Negative,banking,interest rate concerns
827, GXS, Negative,banking,Long Wait Times
828, GXS, Positive,app,
829, GXS, Negative,app,technical difficulties during registration and setup
830, GXS, Positive,app,
831, GXS, Positive,app,
832, GXS, Neutral,app,other
833, GXS, Neutral,app,other
834, GXS, Negative,app,technical difficulties during registration and setup
835, GXS, Negative,app,other
836, GXS, Negative,app,technical glitches
837, GXS, Negative,app,technical difficulties during registration and setup
838, GXS, Negative,banking,account issues
839, GXS, Negative,banking,application rejection
840, GXS, Negative,app,other
841, GXS, Negative,signup,
842, GXS, Neutral,app,other
843, GXS, Negative,app,technical glitches
844, GXS, Neutral,app,other
845, GXS, Negative,app,login issues
846, GXS, Negative,app,other
847, GXS, Negative,app,other
848, GXS, Neutral,app,other
849, GXS, Negative,app,UI/UX
850, GXS, Negative,app,other
851, GXS, Positive,app,
852, GXS, Negative,app,other
853, GXS, Negative,app,other
854, GXS, Neutral,app,login issues
855, GXS, Negative,app,login issues
856, GXS, Positive,app,
857, GXS, Neutral,app,lack_of_expected_features_or_functionality
858, GXS, Positive,app,
859, GXS, Positive,app,
860, GXS, Negative,app,technical difficulties during registration and setup
861, GXS, Negative,app,other
862, GXS, Neutral,app,lack of expected features or functionality
863, GXS, Negative,app,technical difficulties during registration and setup
864, GXS, Negative,app,login issues
865, GXS, Neutral,app,other
866, GXS, Positive,app,
867, GXS, Negative,app,technical glitches
868, GXS, Negative,app,technical difficulties during registration and setup
869, GXS, Negative,app,technical difficulties during registration and setup
870, GXS, Negative,app,login issues
871, GXS, Negative,app,technical glitches
872, GXS, Neutral,app,technical difficulties during registration and setup
873, GXS, Negative,app,other
874, GXS, Positive,app,
875, GXS, Negative,app,technical glitches
876, GXS, Neutral,bank,application rejection
