rowid,date,client,bank,rating,review,developer_response
10,2022-12-10 11:32:55,Apple,GXS,5.0,"Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. can’t wait to explore and use more of the app","{'id': 33659714, 'body': ""Hey there, thank you so much for your kind words about our app. We put a lot of effort into the app to make it intuitive and easy to navigate, so we are glad to hear that it has paid off. We are constantly working on new and exciting features, and we can't wait for you to try them out in the future. 😊"", 'modified': '2022-12-12T01:39:46Z'}"
11,2022-09-08 07:14:48,Apple,GXS,1.0,"What a joke! Nothing happens after you input your phone number - nothing! 

It’ll be so much, and I don’t exaggerate when I say this, so much faster for you to travel from one end of Singapore to the other, to open an account at a traditional bank branch. 

One piece of advice to the management of GXS Bank - do not launch if you are not ready! You are a joke. Please look at Trust Bank. Simple and easy to use. Account opened in like, 2 mins?","{'id': 31931245, 'body': 'Hi there! We are in early access phase and invitations are sent out in batches. Look out for an email from us.🙏', 'modified': '2022-09-09T13:50:08Z'}"
12,2023-11-21 09:22:11,Apple,GXS,5.0,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,"{'id': 40071452, 'body': ""Hi there! Thank you for taking your first step to digital banking with us. Your review means the world to us. 💜 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀"", 'modified': '2023-11-11T17:31:31Z'}"
13,2023-08-22 10:22:46,Apple,GXS,1.0,"My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payee’s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list, it’s easy to make mistakes entering long account number, name and bank name each time.","{'id': 38255094, 'body': 'Thanks for sharing with us your thoughts on this, KiloBites. We greatly appreciate your feedback and look forward to continuously improving our GXS app. Rest assured that great things are in the works! 🚀', 'modified': '2023-08-13T00:51:52Z'}"
14,2024-01-11 08:48:28,Apple,GXS,5.0,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!","{'id': 41258669, 'body': ""Hi @Morrrrraaaa, we're thrilled to to know that you like our app and our promos! 🥳 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀Cheers to 2024! 🌈"", 'modified': '2024-01-13T01:42:17Z'}"
15,2023-06-05 15:00:14,Apple,GXS,5.0,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too.","{'id': 36968848, 'body': ""Thanks for the awesome review! We're thrilled that you find our app highly responsive, with a simple yet comprehensive interface. We're here to make your banking experience top-notch. Enjoy the app! 😄  "", 'modified': '2023-06-07T01:14:22Z'}"
16,2022-10-31 05:18:02,Apple,GXS,5.0,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,"{'id': 32899645, 'body': ""Hey therel! Happy to hear you like our app! We're just as excited! 🤩 Thank you so much for your 5 star review! 🙏"", 'modified': '2022-11-01T07:49:22Z'}"
17,2023-11-16 19:29:12,Apple,GXS,5.0,"GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!","{'id': 40208708, 'body': ""Hey MikeEkimC! We're absolutely thrilled that you fell head over heels for our app. 💜 Thank you for your 5-star review, it made our day! 🤩"", 'modified': '2023-11-18T07:46:17Z'}"
18,2022-10-06 02:05:55,Apple,GXS,5.0,"I recently used this digital bank, which has many security features and user friendly UI.
I 100% recommend to used this App.","{'id': 32436565, 'body': 'Hi Mani! Thank you for your 5 stars review. 💜 We are thrilled to know that you like the app security and our user interface! 🤩 We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🚀', 'modified': '2022-10-07T07:22:38Z'}"
19,2022-12-16 02:50:05,Apple,GXS,5.0,"The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)","{'id': 33775142, 'body': ""Hey there! Thank you for your 5 stars review. 🤩 We are thrilled to know that you love our app's interface and we're constantly working to make it even better! 💜 "", 'modified': '2022-12-17T08:40:26Z'}"
20,2023-12-07 07:21:02,Apple,GXS,5.0,"Wish more people can download and use, and more rewards can be given.","{'id': 40583555, 'body': ""Hi Adrian! We're thrilled that you're enjoying our app features. It's heartening to know our services have been beneficial and positive for you. We're hopeful that our future reward features will continue to satisfy and excite you! 🚀💜"", 'modified': '2023-12-08T17:44:06Z'}"
21,2023-09-12 05:10:29,Apple,GXS,1.0,Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,"{'id': 38898667, 'body': 'Hi there, thank you for your valuable feedback. 🙏 We appreciate you taking the time to share your thoughts with us and have captured this as part of our continuous improvement process. 💜\r', 'modified': '2023-09-13T17:19:13Z'}"
22,2024-02-24 06:12:02,Apple,GXS,1.0,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star.","{'id': 42187814, 'body': ""Hey there! We're sorry to hear about your experience. 🙏 We understand the importance of this matter and are committed to make things right for you. Could you please get in touch with us via Live Chat or call, at (+65) 3105 2055, so that we can assist you further? We’d be happy to make things right for you! 💜"", 'modified': '2024-02-25T17:57:31Z'}"
23,2024-03-19 03:38:30,Apple,GXS,5.0,Very smooth to use and attractive app. Simple features and excited to see more advanced banking features in future.,"{'id': 35450760, 'body': 'Thanks for the five star review, Vicky! It means the world to us and to our entire team! 😀', 'modified': '2023-03-18T00:55:14Z'}"
24,2023-12-06 09:00:01,Apple,GXS,5.0,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),"{'id': 40564555, 'body': 'Hi ChefDugi, we are very heartened to see our services have been beneficial and positive for you. We hope our features in the future will continue to serve and delight you constantly.', 'modified': '2023-12-07T17:47:50Z'}"
25,2023-11-11 07:18:42,Apple,GXS,5.0,Can try for saving money !! My money said they liked there,"{'id': 40087226, 'body': 'Hey there! We are happy that you like our app! You have made our day, and we are definitely striving to improve our products to serve you better! 🚀💜', 'modified': '2023-11-13T05:18:58Z'}"
26,2023-09-25 01:04:27,Apple,GXS,5.0,Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,"{'id': 39147023, 'body': ""Hi derrick. Thank you for the 5 star review! ⭐ This helps to motivate all of us at GXS to scale even greater heights. We're delighted to learn that you love the app as much as we do. Happy banking with GXS! 😉🚀"", 'modified': '2023-09-26T09:27:11Z'}"
27,2023-11-15 02:39:34,Apple,GXS,5.0,"Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!","{'id': 40166514, 'body': ""Hey there! We're thrilled to hear that our app has hit all the right notes. We love the flexible repayments and interest savings too. 🤩 Thank you so much for your support and 5-star review! 🎉"", 'modified': '2023-11-16T07:23:53Z'}"
28,2022-12-07 12:19:51,Apple,GXS,5.0,J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :),"{'id': 33623990, 'body': 'Happy to hear that you have been enjoying the GXS experience, Koko! Have an awesome day! 💜 ', 'modified': '2022-12-09T07:02:54Z'}"
29,2022-12-07 06:31:42,Apple,GXS,5.0,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential 👍🏼,"{'id': 33624101, 'body': 'We are glad you have been enjoying the GXS experience on our app so far. Keep using the app, and let us know if you have other suggestions or feedback. Have a great week ahead!', 'modified': '2022-12-09T07:07:01Z'}"
30,2022-12-09 03:47:29,Apple,GXS,5.0,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,"{'id': 33642651, 'body': 'Hi tloh001, we are happy that you like our awesome app interface and Saving Pockets feature! 🤩We strive to give our customers the best app experience and attractive interest rates.🚀Thank you very much for your 5 stars review! Your support and voice are very important to us. Keep using our app. 💜 ', 'modified': '2022-12-10T08:01:46Z'}"
31,2022-09-06 17:57:25,Apple,GXS,2.0,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,"{'id': 31898945, 'body': ""Hi there! We're inviting customers progressively to make sure that everything is well built for the best experience possible. Thanks for your patience! 🙏 "", 'modified': '2022-09-08T01:14:40Z'}"
32,2023-11-21 07:13:17,Apple,GXS,5.0,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,
33,2022-10-04 13:02:31,Apple,GXS,5.0,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,"{'id': 32413442, 'body': ""Hi there! We aim to create a better banking experience for everyone. A win for us is when banking is a win for you. We can't wait to get everyone onboard our revolution! 🚀"", 'modified': '2022-10-06T01:55:09Z'}"
34,2024-02-10 03:22:39,Apple,GXS,5.0,This app is easy to use.,"{'id': 41887361, 'body': 'Aw, thanks for the kind words! We’re glad that our app is user-friendly. 💜 If you need any help or have any feedback, feel free to reach out to us. We’ll be more than happy to hear from you!', 'modified': '2024-02-12T04:08:12Z'}"
35,2024-02-17 11:21:01,Apple,GXS,5.0,User friendly,"{'id': 42034671, 'body': ""We're thrilled to hear that our app has hit all the right notes. 💜 Thank you for the 5-star review! "", 'modified': '2024-02-19T01:51:26Z'}"
36,2023-12-06 08:45:43,Apple,GXS,5.0,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,"{'id': 40564589, 'body': ""Thank you for taking the time to leave us this wonderful review, GW1188! We're delighted to hear that it is easy for you to use our GXS account on your Grab App! 😄"", 'modified': '2023-12-07T17:50:35Z'}"
37,2023-11-18 08:52:03,Apple,GXS,5.0,Best digital bank in my opinion I prefer this over its competitors:),
38,2023-06-05 11:16:31,Apple,GXS,5.0,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!","{'id': 36968713, 'body': ""Hey Tyc!👋 Thank you so much for your review! We're thrilled to hear that our app helps you witness growth every day. Setting goals and watching them progress is an incredible feeling, and we're glad our app supports you in achieving that. Here's to continued growth and success! 🌱🚀"", 'modified': '2023-06-07T00:59:50Z'}"
39,2022-09-16 07:19:33,Apple,GXS,1.0,"Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur ‘launch’ aka beta testing 🤦🏻

Update: doesn’t bode well… even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch","{'id': 32048133, 'body': ""Hi there! We're inviting customers progressively to make sure that everything is well built for the best experience possible. In the meantime, you can register your interest to open an account upon download. We'll let you know when we’re ready for you! 🙏"", 'modified': '2022-09-16T01:26:55Z'}"
40,2023-08-11 11:02:39,Apple,GXS,3.0,It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,"{'id': 38255171, 'body': ""Hey Ahfei94! Thank you for giving our app your recognition! From 17 August 2023, we're increasing the interest rate for the Main Account from 0.08% to 2.38% p.a. and the Saving Pockets interest rate will be adjusted to 2.68% p.a. Thank you for banking with GXS! 😊"", 'modified': '2023-08-13T01:16:18Z'}"
41,2023-07-25 14:17:22,Apple,GXS,1.0,"Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isn’t planing to offer, please stop advertising that. Thanks!","{'id': 37926314, 'body': 'Hey, Sheerliyn! We’re sorry to make you feel that way. Rest assured that our 3.48% interest rate still applies to our Saving Pockets. However, as our slots for our Savings Account are currently full, do sign up on the GXS app for early access. 🙏', 'modified': '2023-07-27T02:55:34Z'}"
42,2023-06-06 02:44:38,Apple,GXS,5.0,Very convenient and easy to understand and use,"{'id': 36976094, 'body': ""Thank you! We're delighted that you find our app highly convenient, easy to understand, and user-friendly. We appreciate your support and hope you continue to enjoy the seamless experience. 🙏 "", 'modified': '2023-06-07T08:31:05Z'}"
43,2023-01-20 04:35:32,Apple,GXS,2.0,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,"{'id': 34409165, 'body': 'Hi Desiphone, we have since resolved the App issue. We would like to assure you that the App is now working fine and we apologize for the inconvenience caused. Rest assured that there will not be any impact to your account. In the meantime, we may need you to log in again through your SingPass to access the App. A gentle reminder to update your App to the latest version too. Once again, we thank you for your understanding and support.🙏😊', 'modified': '2023-01-21T07:57:54Z'}"
44,2022-09-12 05:46:10,Apple,GXS,5.0,"Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!","{'id': 31997477, 'body': ""Hey there, so happy to know that you like our app! We'll keep working hard to make the app even easier to use! Good luck in achieving your Saving Pockets goal too, we're all rooting for you! 🤩🚀"", 'modified': '2022-09-13T15:04:50Z'}"
45,2024-02-25 07:24:03,Apple,GXS,5.0,The app is easy to navigate and optimise for people of all ages.,"{'id': 42216759, 'body': ""Hi there! Thank you for your 5 stars review.💜 We're delighted to learn that you find our app's user interface easy and intuitive to use! We strives to exceed your expectations, and we're pleased to have met your needs.🤩"", 'modified': '2024-02-26T18:04:42Z'}"
46,2023-11-15 06:52:28,Apple,GXS,5.0,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?","{'id': 40186472, 'body': ""We're over the moon to receive your 5-star review! 😍 Thank you for your continued support and we look forward to providing more exciting products and features to you soon! 🚀"", 'modified': '2023-11-17T03:10:14Z'}"
47,2023-06-11 00:50:35,Apple,GXS,5.0,Try it and you will love it.,"{'id': 37081455, 'body': 'Woohoo, we’re glad to hear that you love our app! Thanks for sharing the love, SgPlayboy! 😉💜', 'modified': '2023-06-13T01:22:46Z'}"
48,2023-06-05 10:16:52,Apple,GXS,5.0,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!","{'id': 36496200, 'body': ""Hey there! We're glad to hear that you're enjoying saving pockets feature! 🤩 Thanks for taking the time to leave a feedback - we strive to serve you better! 🙏 💜"", 'modified': '2023-05-13T08:14:26Z'}"
49,2023-12-06 08:35:07,Apple,GXS,5.0,"There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum","{'id': 40564481, 'body': 'Hi mdyyeo, we are very grateful and glad that you are enjoying our features. We look forward to delighting you more with our new features in the future.', 'modified': '2023-12-07T17:41:44Z'}"
50,2023-08-13 12:05:53,Apple,GXS,1.0,"It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods.","{'id': 38292883, 'body': ""Hi Azubu! Thanks for sharing your thoughts with us! We're always striving to improve, and your feedback means a lot! We recognise that our customers use their GXS Savings Account for Grab and Singtel Dash transactions to earn 1.2x reward points from eligible transactions. As these funds are debited through the Main Account of the GXS Savings Account, we have received feedback that our customers would like to earn higher interest while still enjoying the benefits of our ecosystem rewards programme. So from 17th August 2023, we're increasing the interest rates for our GXS Main Account from 0.08% to 2.38% p.a., and the Saving Pockets will be adjusted to 2.68% p.a."", 'modified': '2023-08-15T01:44:00Z'}"
51,2023-06-05 11:34:48,Apple,GXS,5.0,Easy to use and log in! Very clean instruction.,"{'id': 36968796, 'body': ""Thanks so much for your wonderful review, Dtthian! 🙏💜 We're thrilled to hear that our app is easy to use and provides a seamless login experience. We've put a lot of effort into making the instructions clear and user-friendly, so it's fantastic to know that you find them clean and easy to follow."", 'modified': '2023-06-07T01:07:04Z'}"
52,2023-06-05 10:23:48,Apple,GXS,5.0,"Simple, straightforward to use with no bugs. Great experience","{'id': 36968616, 'body': ""\r\nWow, thanks so much for the fantastic 5-star review!✨ It's amazing to know that you had a great time using our app. If you ever need any assistance or have more feedback to share, feel free to reach out. Keep enjoying the greatness and simplicity of our app!  😊"", 'modified': '2023-06-07T00:48:26Z'}"
53,2022-10-03 06:17:01,Apple,GXS,5.0,"Really like the details in the app, will definitely use it daily!","{'id': 32394465, 'body': ""Hey there! We're glad to know you love our app! Your support and voice are very important to us. Keep using our app.💜 "", 'modified': '2022-10-05T02:00:26Z'}"
54,2023-05-30 13:19:00,Apple,GXS,5.0,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted.","{'id': 36853217, 'body': ""Thanks so much for your fantastic 5-star review! We're thrilled to hear that you're loving the Saving Pockets feature as well. We share your excitement for the day when we can assist you in saving even more with us. Rest assured, as soon as the cap is lifted, we'll make sure to keep you informed. 💜🚀 "", 'modified': '2023-06-01T01:20:24Z'}"
55,2023-07-19 06:05:49,Apple,GXS,1.0,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you, it’s us”. 

Ummmm okayyyy","{'id': 37804107, 'body': ""Hi there, thank you for staying with us thus far! 🙏 One common reason could be because you're not physically located in Singapore at the time of application. Likewise, you’ll need to disable your VPN before submitting your application. Any other questions, feel free to to contact our hotline at (+65) 3105 2055. We are here for you, 24/7! 💜"", 'modified': '2023-07-20T17:29:19Z'}"
56,2022-12-10 13:18:37,Apple,GXS,5.0,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,"{'id': 33659738, 'body': 'Happy to hear that you have been enjoying the GXS experience so far! Have an awesome week ahead! 🙏', 'modified': '2022-12-12T01:42:12Z'}"
57,2023-12-23 08:46:14,Apple,GXS,1.0,"Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users.","{'id': 40892311, 'body': 'Hi @azejnn Merry Christmas to you. Thank you for your feedback and we are sorry to hear that you were not able to launch the survey. We are unable to share account details over a public platform, please contact us at our hotline so we can attend to you accordingly.', 'modified': '2023-12-25T18:05:40Z'}"
58,2023-11-10 11:37:30,Apple,GXS,5.0,Simple and easy,"{'id': 40071410, 'body': 'Yay! Glad to hear that you’re enjoying our app, Kok Ong! Feel free to get in touch with us if you need any help or have any feedback. 😉', 'modified': '2023-11-11T17:26:46Z'}"
59,2022-12-07 06:14:34,Apple,GXS,5.0,Intuitive and easy to set up,"{'id': 33624137, 'body': 'Thank you very much for the five stars review! It means a lot to us. Have a great week ahead!', 'modified': '2022-12-09T07:07:47Z'}"
60,2022-12-23 04:53:44,Apple,GXS,3.0,"Personally don’t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable 😞","{'id': 33909915, 'body': ""That's a good suggestion Dian1117! Currently, we do not have the option to toggle to a different theme in-app. We have forwarded your thoughts to the team as feedback for further consideration. 🙏 Thank you for your support! 💜"", 'modified': '2022-12-24T08:05:57Z'}"
61,2023-12-11 17:42:41,Apple,GXS,5.0,Friendly use apps,"{'id': 40648049, 'body': 'Hi Ryan! Thank you for your 5 stars review. 💜We are thrilled to know that you like the app easy and user-friendly user interface! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🙏🤩\r\n', 'modified': '2023-12-13T01:44:58Z'}"
62,2023-08-07 08:36:43,Apple,GXS,1.0,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.,"{'id': 38201968, 'body': ""Hi there! We're always striving to improve. 🙏 We recognise that our customers use GXS for Grab and Singtel Dash transactions to earn 1.2x reward points from eligible transactions, so from 17 August 2023, we're increasing the interest rates for our GXS Main Account from 0.08% to 2.38% p.a. and the Saving Pockets will be adjusted to 2.68% p.a. 💜"", 'modified': '2023-08-10T00:58:52Z'}"
63,2023-06-05 15:00:50,Apple,GXS,5.0,Very friendly app,"{'id': 36968911, 'body': 'Hey Nigel! Thanks for the 5-star review! Our app is all about being user-friendly. Enjoy using it! 💜🚀 ', 'modified': '2023-06-07T01:19:02Z'}"
64,2023-12-03 15:49:37,Apple,GXS,5.0,This is very good. Really very helpful. I Will keep in touch with them. 👌🏽😍,"{'id': 40435148, 'body': 'Hi Sanadece, thank you for your kind words. This review means the world to us, it made our day! 💜🤞 ', 'modified': '2023-11-30T17:34:51Z'}"
65,2023-11-20 08:16:12,Apple,GXS,5.0,Such a great service compared to Bank,"{'id': 39187503, 'body': 'Hey Calvin! Thanks so much for the amazing 5-star review! It truly means a lot to us and our entire team. We will continue to work hard to ensure that your experience with us remains excellent. Happy banking with GXS! ', 'modified': '2023-09-28T03:16:08Z'}"
66,2023-06-05 10:26:09,Apple,GXS,5.0,Easy to use with high interest rate,"{'id': 36968637, 'body': ""Thanks for your review, Hayley! We're glad to hear that you find our app easy to use. We strive to provide competitive rates and help you maximize your savings. If you have any further suggestions or questions, feel free to reach out. We're here to assist you!💜🚀"", 'modified': '2023-06-07T00:50:37Z'}"
67,2023-06-05 11:50:22,Apple,GXS,5.0,Makes banking easy to use,"{'id': 36968822, 'body': ""Thanks for your support! We're delighted to know that our app has made banking easy for you. 😄   "", 'modified': '2023-06-07T01:10:36Z'}"
68,2022-09-05 01:49:32,Apple,GXS,5.0,Nice design!,"{'id': 31871874, 'body': 'Hey Shirley, it is wonderful to know that you like our app! It means the world to us and to our entire team! 😀 ', 'modified': '2022-09-06T14:37:05Z'}"
