id,date,bank,client,rating,sentiment,intent,service,issue,review
11,45231,GXS,Apple,5,Negative,Feedback,D,D1,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you
12,45139,GXS,Apple,1,Neutral,Praise,A,A1,"My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payee’s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list, it’s easy to make mistakes entering long account number, name and bank name each time."
13,45292,GXS,Apple,5,Negative,Complaint,B,B1,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!"
14,45078,GXS,Apple,5,Positive,Feedback,D,D1,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too."
15,44835,GXS,Apple,5,Negative,Praise,C,C1,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.
16,45231,GXS,Apple,5,Neutral,Praise,D,D1,"GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!"
17,44835,GXS,Apple,5,Positive,Praise,C,C1,"I recently used this digital bank, which has many security features and user friendly UI.
I 100% recommend to used this App."
18,44896,GXS,Apple,5,Negative,Praise,B,B1,"The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)"
19,45170,GXS,Apple,1,Positive,Praise,A,A1,Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app
20,45323,GXS,Apple,1,Neutral,Feedback,C,C1,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star."
21,45261,GXS,Apple,5,Negative,Feedback,B,B1,"Wish more people can download and use, and more rewards can be given."
22,45352,GXS,Apple,5,Negative,Feedback,D,D1,Very smooth to use and attractive app. Simple features and excited to see more advanced banking features in future.
23,45261,GXS,Apple,5,Neutral,Complaint,B,B1,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :)
24,45231,GXS,Apple,5,Negative,Praise,C,C1,Can try for saving money !! My money said they liked there
25,45170,GXS,Apple,5,Neutral,Complaint,D,D1,Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.
26,45231,GXS,Apple,5,Neutral,Feedback,C,C1,"Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!"
27,44896,GXS,Apple,5,Positive,Feedback,A,A1,J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :)
28,44896,GXS,Apple,5,Negative,Praise,C,C1,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential 👍🏼
29,44896,GXS,Apple,5,Negative,Feedback,C,C1,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!
30,44805,GXS,Apple,2,Negative,Feedback,A,A1,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?
31,45231,GXS,Apple,5,Positive,Praise,D,D1,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.
32,44835,GXS,Apple,5,Positive,Feedback,A,A1,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.
33,45323,GXS,Apple,5,Neutral,Feedback,A,A1,This app is easy to use.
34,45323,GXS,Apple,5,Positive,Praise,B,B1,User friendly
35,45261,GXS,Apple,5,Neutral,Feedback,C,C1,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.
36,45231,GXS,Apple,5,Negative,Praise,A,A1,Best digital bank in my opinion I prefer this over its competitors:)
37,45078,GXS,Apple,5,Negative,Praise,A,A1,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!"
38,45078,GXS,Apple,5,Positive,Praise,C,C1,Very convenient and easy to understand and use
39,44805,GXS,Apple,1,Neutral,Complaint,C,C1,"Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur ‘launch’ aka beta testing 🤦🏻

Update: doesn’t bode well… even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch"
40,45108,GXS,Apple,1,Negative,Feedback,D,D1,"Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isn’t planing to offer, please stop advertising that. Thanks!"
41,45139,GXS,Apple,3,Neutral,Complaint,A,A1,It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes
42,44927,GXS,Apple,2,Negative,Feedback,C,C1,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.
43,44805,GXS,Apple,5,Neutral,Praise,C,C1,"Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!"
44,45323,GXS,Apple,5,Neutral,Praise,B,B1,The app is easy to navigate and optimise for people of all ages.
45,45231,GXS,Apple,5,Positive,Praise,D,D1,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?"
46,45078,GXS,Apple,5,Negative,Complaint,B,B1,Try it and you will love it.
47,45078,GXS,Apple,5,Positive,Feedback,C,C1,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!"
48,45261,GXS,Apple,5,Neutral,Feedback,A,A1,"There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum"
49,45139,GXS,Apple,1,Neutral,Praise,A,A1,"It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods."
50,45078,GXS,Apple,5,Negative,Feedback,D,D1,Easy to use and log in! Very clean instruction.
51,45078,GXS,Apple,5,Neutral,Complaint,A,A1,"Simple, straightforward to use with no bugs. Great experience"
52,44835,GXS,Apple,5,Neutral,Praise,B,B1,"Really like the details in the app, will definitely use it daily!"
53,45047,GXS,Apple,5,Positive,Praise,C,C1,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted."
54,45108,GXS,Apple,1,Negative,Feedback,A,A1,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you, it’s us”. 

Ummmm okayyyy"
55,44896,GXS,Apple,5,Positive,Feedback,C,C1,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature
56,45231,GXS,Apple,5,Negative,Complaint,B,B1,Simple and easy
57,45261,GXS,Apple,1,Neutral,Praise,A,A1,"Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users."
58,44896,GXS,Apple,5,Neutral,Complaint,D,D1,Intuitive and easy to set up
59,45261,GXS,Apple,5,Positive,Praise,A,A1,Friendly use apps
60,45139,GXS,Apple,1,Negative,Complaint,D,D1,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.
61,44896,GXS,Apple,3,Positive,Praise,A,A2,"Personally don’t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable 😞"
62,45078,GXS,Apple,5,Negative,Praise,D,D1,Very friendly app
63,45261,GXS,Apple,5,Positive,Praise,A,A2,This is very good. Really very helpful. I Will keep in touch with them. 👌🏽😍
64,45231,GXS,Apple,5,Positive,Complaint,C,C1,Such a great service compared to Bank
65,45078,GXS,Apple,5,Neutral,Complaint,D,D1,Easy to use with high interest rate
66,45078,GXS,Apple,5,Positive,Feedback,A,A2,Makes banking easy to use
67,44805,GXS,Apple,5,Negative,Praise,D,D1,Nice design!
68,45231,GXS,Apple,5,Neutral,Feedback,D,D1,You get the highest saving interest rate on the market
69,45323,GXS,Apple,1,Positive,Complaint,A,A2,Show allow to increase amount not reduce and stay that way. For a first timer I didn’t know that once I reduce amt I cannot get back the original amount that is given to me.
70,45261,GXS,Apple,5,Negative,Complaint,D,D1,Guys u guy to try this out
71,45139,GXS,Apple,2,Positive,Feedback,C,C1,"Income extracted from SingPass is incorrect.
Information in SingPass is correct
Which means the process of extracting information needs to be updated."
72,44927,GXS,Apple,1,Negative,Complaint,C,C1,This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.
73,45231,GXS,Apple,5,Negative,Praise,C,C1,Loan disbursement was immediate. App is simple to use. Repayments just as easy.
74,45200,GXS,Apple,5,Neutral,Praise,A,A2,Best and fast loan approval
75,45108,GXS,Apple,1,Neutral,Feedback,A,A2,"Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and wait……………..no ends!!!!!👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎"
76,45231,GXS,Apple,1,Positive,Complaint,B,B1,"I cannot open the app at all, even after updates it keeps telling something went wrong."
77,45170,GXS,Apple,1,Positive,Praise,B,B1,increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive
78,45170,GXS,Apple,1,Neutral,Complaint,A,A2,DO NOT USE THIS APP!!!! So frustrating on this app. 3 times I tried to move a small portion of money out of my pocket. 3 times the pocket becomes $0 straight away and I can’t move/transfer my money out!!!!!!!!!!!!!
79,45108,GXS,Apple,1,Positive,Feedback,C,C1,Gave an application to open account but the bank decided to cancel opening new accounts and the “bank” didnt even bother to inform clients! May be its a gods sign to save my money.
80,45047,GXS,Apple,1,Negative,Feedback,D,D1,"App keeps giving me “something went wrong” and “it’s not you, it’s us” notification whenever I attempt to log-in. Totally unusually at this time of writing."
81,44958,GXS,Apple,4,Neutral,Praise,B,B1,could you add a way to sign in using singpass password instead of only having to use the app?
82,45261,GXS,Apple,5,Neutral,Complaint,A,A2,Gxs provide good interest for their pocket savings.
83,44835,GXS,Apple,1,Neutral,Praise,D,D1,"Not prepared? Then don’t launch. See your direct competitor got a pure breeze of experience. Onboarding was swift and fast. Just think the reviews here are just made by the staff lol, focusing on UI/UX what a joke. Best UI/UX where others cannot experience YET."
84,45352,GXS,Apple,1,Negative,Complaint,D,D1,Apply one year ago..say when slots open up will let me know ..efficient bank sureee
85,45292,GXS,Apple,1,Neutral,Praise,B,B1,"When you asked your staff to write a 5* review, don’t just get them to write great app, easy to use or hurray. Write how did the app help you, how you benefit from the app and why the app is soooo good?"
86,44896,GXS,Apple,5,Neutral,Complaint,A,A2,"Love the modern design, user experience was great as well."
87,45108,GXS,Apple,1,Positive,Praise,A,A2,"Pls improve your good service for any person who are really need it,hope the app can improve soon"
88,45108,GXS,Apple,5,Negative,Feedback,B,B1,Efficient
89,44835,GXS,Apple,5,Positive,Praise,A,A2,A whole new era of banking. Go GXS or go home! 💪🏼
90,44896,GXS,Apple,5,Neutral,Complaint,A,A2,Great UI and user-friendly
91,45047,GXS,Apple,1,Neutral,Complaint,C,C1,Sent me texts and email to tell me I am selected for flexi loan . But non is approved . Said borrow from $200 and above but can’t even borrow $200 😂 rejected all of my friend and family members . So who can borrow ? Millionaire ?
92,45261,GXS,Apple,5,Neutral,Feedback,C,C1,"Fair and transparent loans.
Interest is not like the atypical bank that is out to profit and cripple the debtor."
93,45231,GXS,Apple,1,Negative,Complaint,A,A2,Keep creating account to write fake 5 star reviews when your app is so buggy and processing time is so slow. Worst banking app ever!
94,45108,GXS,Apple,1,Neutral,Praise,B,B1,"Useless, lacks features and does not provide any improvement from traditional banks available in Singapore"
95,45139,GXS,Apple,1,Positive,Praise,B,B1,"Reduced interest from 3.48 to 2.68% in less than a month, kenna baited to start an account here. Have removed all my funds and closed my account."
96,45231,GXS,Apple,5,Neutral,Complaint,A,A2,"THIS LITERALLY SAVED ME, i recommendation is high as the giant touches the sky"
97,45231,GXS,Apple,1,Positive,Praise,C,C1,When I sign up can’t sign up always say oops something went wrong please try again
98,45292,GXS,Apple,5,Negative,Complaint,D,D1,Good to use
99,45078,GXS,Apple,5,Negative,Feedback,D,D1,Great plat form … easy to use and hassle free.
100,45231,GXS,Apple,5,Neutral,Complaint,B,B1,reliable and quick response
101,45047,GXS,Apple,3,Neutral,Feedback,A,A2,Can’t login after applying?????????
102,45108,GXS,Apple,5,Neutral,Complaint,A,A2,Pockets are unique and useful
103,44835,GXS,Apple,5,Neutral,Feedback,D,D1,Good interest rate on pockets and great user experience.
104,44835,GXS,Apple,5,Negative,Praise,A,A2,Love the savings pockets and daily interest!
105,44896,GXS,Apple,5,Negative,Praise,B,B1,Did an intern write that script? Nice.
106,45261,GXS,Apple,5,Positive,Complaint,C,C1,Nice And Fast Bank
107,44805,GXS,Apple,1,Negative,Feedback,D,D1,Best get back to the drawing board. Design thinking  forget about the  many “dumb” users out there including me.
108,44927,GXS,Apple,1,Negative,Praise,B,B1,"What if I urgently need access to my money? This is not the way to go.
🤬"
109,44896,GXS,Apple,1,Negative,Praise,B,B1,Deleted the app. Sick of it serving no other purpose currently than being a lead generator.
110,44805,GXS,Apple,5,Negative,Complaint,D,D1,"Awesome, easy n fun to use! 😊"
111,44927,GXS,Apple,1,Positive,Praise,C,C1,"Access to funds blocked, no transparency apart from it being a recognized technical issue, no ETA and no communications from Grab or Singtel."
112,44896,GXS,Apple,5,Neutral,Feedback,D,D1,"app is really easy to navigate, user-friendly"
113,45108,GXS,Apple,1,Neutral,Complaint,C,C1,Unable to sign in to account
114,45292,GXS,Apple,3,Neutral,Feedback,A,A2,Is this really an authentic app for GXS? Looks cheap.
115,45261,GXS,Apple,5,Positive,Feedback,C,C1,save ur money and grow
116,45261,GXS,Apple,5,Negative,Praise,D,D1,Good to use
117,45139,GXS,Apple,1,Positive,Feedback,C,C1,Lack the basic function to save a payee
118,45170,GXS,Apple,1,Positive,Complaint,B,B1,Does not make sense.
119,45231,GXS,Apple,1,Positive,Complaint,D,D1,"useless app.  unable to join or open account,
app is not open to all in sg"
120,44896,GXS,Apple,5,Negative,Praise,C,C1,Great features! Love it!
121,45231,GXS,Apple,4,Positive,Feedback,A,A2,Good app
122,45139,GXS,Apple,1,Negative,Feedback,B,B1,first bank to reduce interest rates for savings but interest rates for loans stay high
123,45078,GXS,Apple,5,Negative,Complaint,C,C1,Love the app
124,45231,GXS,Apple,5,Neutral,Feedback,B,B1,Good
125,44805,GXS,Apple,5,Neutral,Complaint,D,D1,#NAME?
126,45352,GXS,Apple,1,Neutral,Complaint,D,D1,heheh
127,45108,GXS,Apple,1,Negative,Complaint,C,C2,Only for PR and SP
128,45170,GXS,Apple,5,Negative,Praise,A,A2,Wow
129,44805,GXS,Apple,5,Negative,Praise,D,D1,🚀🚀🚀🚀🚀
130,45108,GXS,Apple,1,Positive,Complaint,A,A2,"I was trying to make payment using Paynow Qr code using scan and pay. Merchant create a dynamic QR code of payment $15.7 but the GXS app scan and pay read in as $15.07
Pls advice to correct the mistake as it make me and merchant very inconvenience."
131,45108,GXS,Apple,1,Neutral,Praise,A,A2,安全漏洞！下载要小心！即使用SingPass 开户也一样不安全！Bug 导致无法通过！
132,45108,GXS,Apple,1,Negative,Complaint,A,A2,"21 Jul 23:
The integration on iPad is off. The first time login requires SingPass as a safety feature but it doesn’t generate a QR Code. Devs should consider a workaround. 

Pending dev feedback before rating change."
133,44866,Trust,Apple,5,Positive,Praise,D,D1,"I had my card locked the night before, and contacted customer service through the app. The first time I called them, and after being put on hold, the call disconnected. I then left them a message. They told me to tap on a notification to authorise a payment in the app, but I couldn't. I referred this to another customer service personnel and was told the same thing, and insisting there is a notification i can tap to unlock my card, when I tried tapping every single one of my notifications in app, with 0 of them giving me any instructions 

When i asked if theres a Website to access the notifications, or if the bank can unlock the card from their side, the customer service officer just said “they’ll refer my case and unlock my card in 3 working days”, and asked if I have any other issues. Just as i was about to type, the person left the chatroom.

Extremely annoyed at this entire situation, and if this app can streamline the customer service process, I would have rated it higher."
134,44958,Trust,Apple,5,Negative,Feedback,C,C2,"Been using it for 3 months, everything’s great! Getting bonuses just by spending $200 outside of NTUC is so much less stressful and much more achievable than some other banks which require spending $500 monthly. Love the coupons and vouchers, first time having an app where the coupons/vouchers are much more relatable and useful, just my personal opinion. Notifications will be there whenever there’s a new transaction or the transaction has been processed. Using it for transactions overseas was also really convenient. Customer service was good too, not sure why there are so many people complaining about it. App is smooth overall, just some hiccups when Face ID was suddenly not available (deleting and re-download the app helps). But knowing that it’s still a very new digital bank, these kinds of errors may be unavoidable at the start. Great job overall, keep it up!"
135,44805,Trust,Apple,1,Positive,Feedback,B,B1,"On 04Sept, i accidentally clicked “yes” to be enrolled into their insurance plan. I immediately called their Customer Service hotline which said to be “24*7” however no one answered. I have been keep calling in the last three days and no matter what time I cal and how long I wait, there is forever no one answers. I feel like calling to a ghost. Imagine the other your card was lost and need immediate attention but no one is there to help you, do you still want to bank with them?
On 05Sept, I left a message in the chat group for help. After waiting for hours, someone answered saying I can cancel either on the Insurance’s official website or via email. I wrote an email and followed up twice in the last two days, but again, no one reply. Then I asked in the chat group on 06Sept on how to cancel on website since no one replies my email, and again, after waiting for hours, they told they also not sure and need a specialist to advise…However, till now there is still no so called “Specialist” to contact me…
Such digital bank like Trust might be good at beginning with promotions/coupons. But what can eventually make their customers stay is the “Service”. Can your imagine their Customer Service is like such?"
136,45139,Trust,Apple,1,Positive,Complaint,A,A2,"The interface is not intuitive at all. You literally have to keep tap this and that to get between pages. It's infuriating to say the least. Not to mention, whoever is running this credit card is probably the most apathetic person on Earth. Literally makes you feel like you owe them. Late payment? Good luck. You got to plead your case. Asked for a waiver but you need to provide reason. Are we in school? The cs makes you feel like they are doing you a service and you should be grateful. ""On a one-time goodwill"" I quote them. There's nothing good about this card other than the zero foreign transaction fees. Be careful not to miss your repayment date and think before you set it cause you cannot change it. Very incredibly inflexible to say the least. The cs increases your blood pressure. Even telcos have better cs. Sign for the freebies, redeem those and run. Please get this right, customers do not owe you our business. Stop giving us your elitist attitude. It really feels like I have to praise the gods and kiss the feet of your cs cause they waived a fee. 🤮

And the developer's replies is even more infuriating. It's like rubbing it in your face. Not replying is even better than replying some sarcastic template reply."
137,44958,Trust,Apple,5,Neutral,Feedback,C,C2,"Hi, I’ve been using trust bank for a while now and it is very user friendly and the notifications on transactions are very quick. App is also user friendly. I dont know if my recommendation will ever be implemented but i really hope it does because it will help trust bank stand out from other digibank apps even more. my recommendation is to add a section in the UI to include monthly spendings breakdown by categories. since trust bank already categorises our transactions (groceries, shopping, transport etc), the addition of a pie chart of our spending by category will really elevate the user experience to the next level."
138,45200,Trust,Apple,1,Neutral,Complaint,C,C2,"If you’re a first-time salaried employee and would wish to get a credit card from Trust, you will have no choice but to wait for (S$30,000/your monthly salary) months for your CPF contribution to “tell” the bank that you’ve cumulatively earned the qualifying sum in a year, before they can approve your credit card. There’s no case-by-case assessment available. This is quite a departure from a friendly and smart digital bank image that Trust is trying to portray, and this is ironically, particularly unfriendly to their target audience, young population who are more well-versed in and receptive of technology. Do something, perhaps?

Update: I’ve enquired again through the in app chat as instructed by the reply, the correspondent threw me the same reason, telling me I didn’t meet the requirements. So I decided to get creative and tried applying a Standard Chartered (Trust’s partial owner) card using SingPass, guess what, instant approval.

Substandard bank indeed. Kindly refrain from replying with templated reply, thanks."
139,44835,Trust,Apple,1,Neutral,Praise,C,C2,"Credit card was approved in minutes, however my card got locked immediately after my first online transaction via PayPal. I’ve called the bank several times to verify that the transaction was done by me and requested for the card to be unlocked. I received the same response every time stating that the “Fraud Team is still investigating” and “there’s nothing they can do from their end as it’s pending the Fraud Team’s action”. I’ve no clue what the Fraud Team is investigating when I, the owner of the card, has already confirmed the transaction. And even if a investigation was needed, it’s been more than 12 hours and still no progress? For similar issues with other banks, usually the customer service officer would be able to help and have the card unlocked within 30mins. Other than the fast credit card approval process, the time taken for Trust Bank to resolve matters have really made the banking experience an unpleasant one."
140,45078,Trust,Apple,1,Positive,Complaint,D,D1,"Now that I’m happy to use the Trust Card for more transactions, I’m told by their Customer Service that is not possible to raise the credit limit “as the feature is not available”. This is the most ridiculous piece of info I have ever heard. When I first applied for the card, I set a very low credit limit of $2.5k when my salary would qualify for a much higher limit, thinking that if I want to use it more, I could always ask for an increase in the credit limit later, just like how we do with other banks. It is a total disappointment to be given such a reply that it is not possible. I asked if their back office can’t process a simple credit limit increase request, then does this warrant a card cancellation and a re-application to get a higher credit limit; and the reply was that this is still subject to the bank’s review. I can’t wrap my head around this one. The lousiest bank ever."
141,44896,Trust,Apple,5,Neutral,Praise,C,C2,So far I am very impressed with your app and services. While using your app on iPhone 8 and X. Recently i changed to iPhone 14 plus. Strangely I could not log in anymore by Singpass. It kept showing a worker sign as if app is under maintenance. A call to customer service ask me reinstall the app which I promptly did. But no avail. 7 days later I try again. Same issue. I am sure there is a way for me to log into my account. Kindly advice
142,44835,Trust,Apple,2,Negative,Praise,C,C2,"I was late with first payment and promptly slapped with late fees. Tried to get waiver and explain that I had not received help with setting up giro but could  not get through to Cust service. Left a chat message but received a response only 3 hours later with a question, which I of course did not read (who waits 3 hours for a chat response). Within minutes of that very late response (as seen on the chat record), the chat said since I did not reply the matter was considered closed!! I have again tried to speak with CS without success and have left a chat message requesting comms through email or voice. Let’s see… I fear this kind of banking is loaded against us the customer. I am quite wary"
143,44805,Trust,Apple,2,Negative,Complaint,A,A2,"I want to increase credit limit for Trust Bank Credit Card but customer service said this option is not available now ☹️ I need to increase the credit limit as recently my request to increase credit limit of my standard chartered credit card is unsuccessful.I suspected the reason is because trust bank lock my credit limit , since they are in partnership now, so credit limit is shared. Fyi, the credit limit I requested is below the 4x monthly salary max cap they allow. So the only reason I can think of is my trust bank credit card issue. Quite disappointed. If the app is not fully functional yet, why launch it in a rush and caused inconvenience to customer."
144,44805,Trust,Apple,1,Neutral,Complaint,A,A2,"I will be critical base on the pointers :

1) the app has a function that enables you to call, tried calling for assistance,  waited 30mins. No reply thereafter.
2) the app has a function which enables you to chat with the service desk , no reply for up to 24 hours ( take note that you have place a 24 hours SLA be it business or non business hours ) which I don’t see that you have met this criterial ) 

3) your digital platform has lack a couple of options for customer to choose from , I’veSearch for service for paperless statement Nowhere to be found which I feel that this is a service that you need to improve on .

4) payment methods: it is unclear how I can make the payment, DBS ibanking?/AXN machine ? 

5) understand that this is a join product ( NTUC together with Standard chartered ,but It is rather confusing for customer like us to find an appropriate solutions Prior to our problems. When you promoted this card( or E card if you may say ) but filing the gaps such as payments/functions/backend services needs to improve. The only functions that serve well if I may say is only the promotional functions."
145,45108,Trust,Apple,1,Positive,Feedback,D,D1,"I'm served by Navind to waive off Purchase Interest Fee that was charged to my account. I paid my monthly statement bill already but was asked to pay my outstanding bill which I have not received my statement yet. Instead of trying to help, he still question me for my past late payment which has already been resolved. What's the use of credit card? Do you make your purchase and pay your bill immediately? Obviously you make your payment and pay your bill when you receive your statement right? This is the first time I encountered such thing as Pay your outstanding bill before receiving your statement."
146,45292,Trust,Apple,5,Positive,Praise,B,B1,This banking app is so much better than traditional banks. Used to have privilege banking but cancelled credit card with them due to absurd annual fees and have to go through hassle of calling them for other services. Trust app support is tip top with instant response online. Rewards and vouchers are clearly organised and easily redeemable. Only thing is credit card does not look as good but that’s just aesthetics. Keep up the good work and service!!!
147,45292,Trust,Apple,3,Neutral,Feedback,A,A2,"My account was locked as there is multiple tries of passcode. I call the number and told him saying that my account was lock and I had even tried to press the forget passcode. However, the Singpass web page can’t load out. I told him all this, and he say you can only ask the Singpass to resolve this. Bro, the app say can have assistance or even can help to unlock. What can I do if everything I tried so unable to solve my problem. Before this lock I feel the app is so nice and can feel how nice it was."
