Review Number,Intent Category
949,Issue
950,Feedback
951,Issue
952,Feedback
953,Issue
954,Issue
955,Issue
956,Issue
957,Feedback
958,Issue
959,Issue
960,Issue
961,Issue
962,Issue
963,Issue
964,Issue
965,Issue
966,Issue
967,Issue
968,Issue
969,Issue
970,Issue
971,Issue
972,Feedback
973,Issue
974,Issue
975,Issue
976,Issue
977,Feedback
978,Feedback
979,Issue
980,Issue
981,Issue
982,Issue
983,Feedback
984,Issue
985,Issue
986,Feedback
987,Issue
988,Issue
989,Issue
990,Issue
991,Issue
992,Issue
993,Issue
994,Issue
995,Issue
996,Issue
997,Issue
998,Issue
999,Issue
1000,Issue
1001,Issue
1002,Issue
1003,Issue
1004,Issue
1005,Issue
1006,Issue
1007,Issue
1008,Issue
1009,Issue
1010,Issue
1011,Issue
1012,Issue
1013,Issue
1014,Issue
1015,Issue
1016,Issue
1017,Issue
1018,Issue
1019,Issue
1020,Issue
1021,Issue
1022,Issue
1023,Issue
1024,Issue
1025,Issue
1026,Issue
1027,Issue
1028,Issue
1029,Issue
1030,Issue
1031,Issue
1032,Issue
1033,Issue
1034,Issue
1035,Issue
1036,Issue
1037,Issue
1038,Issue
1039,Issue
1040,Issue
1041,Issue
1042,Issue
1043,Issue
1044,Issue
1045,Issue
1046,Issue
1047,Issue
