Review Number,Sentiment
986,Negative
987,Negative
988,Negative
989,Negative
990,Negative
991,Negative
992,Negative
993,Negative
994,Negative
995,Negative
996,Negative
997,Negative
998,Negative
999,Negative
1000,Negative
1001,Negative
1002,Negative
1003,Negative
1004,Negative
1005,Negative
1006,Negative
1007,Negative
1008,Negative
1009,Negative
1010,Negative
1011,Negative
1012,Negative
1013,Negative
1014,Negative
1015,Negative
1016,Negative
1017,Negative
1018,Negative
1019,Negative
1020,Negative
1021,Negative
1022,Negative
1023,Negative
1024,Negative
1025,Negative
1026,Negative
1027,Negative
1028,Negative
1029,Negative
1030,Negative
1031,Negative
1032,Negative
1033,Negative
1034,Negative
1035,Negative
1036,Negative
1037,Negative
1038,Negative
1039,Negative
1040,Negative
1041,Negative
1042,Negative
1043,Negative
1044,Negative
1045,Negative
1046,Negative
1047,Negative
